Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
DNA027585_S11-subsamp18M-s18_R1_001_val_1	9066396.0	5422613.0	0.0	249317.0	495937.0	14872665.0	2334379.0	53.89161802604803	0.4	0.4	34.2	0.0	0.0	directional	4543341.0	4523055.0	227702641.0	16823388.0	57771522.0	125675352.0	28637848.0
DNA027586_S12-subsamp18M-s18_R1_001_val_1	8432515.0	5149476.0	0.0	228009.0	461357.0	12863894.0	3611370.0	49.04518086952284	0.4	0.4	37.1	0.0	0.0	directional	4383526.0	4048989.0	205065706.0	17193361.0	52430530.0	117260069.0	21821847.0
DNA032997_S29-subsamp18M-s18_R1_001_val_1	10130690.0	5219903.0	0.0	540036.0	1106896.0	16760774.0	1762121.0	59.199785609693464	0.8	0.8	38.2	0.0	0.0	directional	5105499.0	5025191.0	254328025.0	17112714.0	64002250.0	144826632.0	27091437.0
DNA032998_S30-subsamp18M-s18_R1_001_val_1	10767811.0	5166260.0	0.0	589209.0	1217804.0	18868526.0	1417051.0	62.0582980166931	0.9	0.8	40.6	0.0	0.0	directional	5392254.0	5375557.0	271289814.0	17351122.0	68417757.0	154578078.0	27618440.0
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	8717557.0	4845101.0	0.0	443988.0	897068.0	14346519.0	2938060.0	52.831379822381066	0.8	0.7	35.3	0.0	0.0	directional	4355443.0	4362114.0	221782548.0	16500718.0	55628246.0	124227864.0	26238863.0
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	8319207.0	4995618.0	0.0	514497.0	1017424.0	13926157.0	2819437.0	51.56236461264854	1.0	0.9	36.4	0.0	0.0	directional	4156234.0	4162973.0	209149038.0	16134262.0	52596891.0	116720184.0	24373885.0
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	8400703.0	5087852.0	0.0	556036.0	1109174.0	14137260.0	2814367.0	51.52881796281673	1.0	0.9	35.5	0.0	0.0	directional	4197594.0	4203109.0	213882458.0	16302922.0	53520981.0	118884061.0	25674946.0
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	8647399.0	5095884.0	0.0	442911.0	875640.0	14135698.0	2688550.0	52.62589389753414	0.8	0.7	34.3	0.0	0.0	directional	4338999.0	4308400.0	218750064.0	16431833.0	54829890.0	121395441.0	27070484.0
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	8780072.0	4860856.0	0.0	497171.0	997391.0	14653492.0	2467271.0	54.50685082795413	0.9	0.8	36.4	0.0	0.0	directional	4394479.0	4385593.0	222092192.0	16108199.0	55732860.0	124601317.0	25609961.0
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	8167770.0	4649992.0	0.0	382843.0	774167.0	13777813.0	3268067.0	50.77618318583394	0.7	0.7	38.1	0.0	0.0	directional	4076748.0	4091022.0	206656812.0	16085829.0	52199169.0	117133289.0	22389531.0
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	7474269.0	4468505.0	0.0	482293.0	979511.0	12645885.0	3726773.0	47.69933042735696	1.0	0.9	40.9	0.0	0.0	directional	3730410.0	3743859.0	184220868.0	15669547.0	46534478.0	105287145.0	18291556.0
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	9183296.0	5022119.0	0.0	464928.0	907779.0	15374131.0	2055340.0	56.47521286680723	0.8	0.7	34.8	0.0	0.0	directional	4587532.0	4595764.0	237622895.0	16260755.0	59442761.0	132631649.0	28801647.0
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	9200433.0	4828722.0	0.0	469742.0	945635.0	15064882.0	2553032.0	55.48383334478137	0.8	0.7	36.0	0.0	0.0	directional	4625208.0	4575225.0	234287527.0	16582187.0	58641198.0	132393326.0	26772744.0
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	7972868.0	4304944.0	0.0	460771.0	929335.0	14025196.0	4186115.0	48.4262837171229	0.9	0.8	46.0	0.0	0.0	directional	4015924.0	3956944.0	192282356.0	16463927.0	49253531.0	111179860.0	16433663.0
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	7626633.0	4200882.0	0.0	444466.0	915428.0	12626390.0	4357837.0	47.120587800623674	0.9	0.8	41.3	0.0	0.0	directional	3809881.0	3816752.0	188285923.0	16185352.0	47433702.0	108900221.0	17965716.0
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	7939618.0	4470043.0	0.0	408579.0	843065.0	13785028.0	3856377.0	48.81101347482405	0.8	0.7	43.2	0.0	0.0	directional	3966966.0	3972652.0	198003697.0	16266038.0	50079250.0	114737337.0	18150438.0
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	10524606.0	4791809.0	0.0	464371.0	961949.0	18036304.0	1690861.0	61.88296115145071	0.7	0.6	39.3	0.0	0.0	directional	5263805.0	5260801.0	271554364.0	17007276.0	67731178.0	156543837.0	27816725.0
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	7793363.0	4484642.0	0.0	419499.0	895174.0	12239155.0	4079243.0	47.644707716114596	0.9	0.8	40.0	0.0	0.0	directional	3984206.0	3809157.0	189318040.0	16357248.0	47508190.0	109861759.0	18394263.0
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	9474660.0	5177015.0	0.0	347306.0	712326.0	16508069.0	2596421.0	54.93162839538927	0.6	0.5	39.7	0.0	0.0	directional	4733618.0	4741042.0	238216485.0	17248096.0	60887299.0	134654251.0	25107234.0
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	8766131.0	5245305.0	0.0	544013.0	1109256.0	15786065.0	2649593.0	52.614583408983925	1.0	0.9	40.9	0.0	0.0	directional	4381716.0	4384415.0	220059306.0	16661029.0	56092825.0	123735654.0	22791493.0
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	8927617.0	5147634.0	0.0	371344.0	742867.0	15103736.0	3099728.0	51.98036632242753	0.6	0.6	37.0	0.0	0.0	directional	4462176.0	4465441.0	223505266.0	17174979.0	56816232.0	124779638.0	25691449.0
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	10186630.0	4487732.0	0.0	428128.0	922671.0	18158308.0	2909464.0	57.931817569168395	0.7	0.6	45.7	0.0	0.0	directional	5117957.0	5068673.0	250724523.0	17583826.0	63157688.0	146511078.0	21546650.0
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	9458719.0	5465724.0	0.0	389855.0	803421.0	16642666.0	2393915.0	54.61671943725843	0.6	0.6	41.5	0.0	0.0	directional	4788122.0	4670597.0	234275385.0	17318358.0	59828966.0	133102571.0	23507906.0
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	8728630.0	4983305.0	0.0	351843.0	718449.0	15368450.0	3436760.0	50.89967487321921	0.6	0.6	44.4	0.0	0.0	directional	4363531.0	4365099.0	215933544.0	17148695.0	55201327.0	125058425.0	19235050.0
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	8842929.0	5053469.0	0.0	362031.0	742909.0	15532168.0	3330838.0	51.331095713787164	0.6	0.6	43.4	0.0	0.0	directional	4414938.0	4427991.0	221145258.0	17227236.0	56393025.0	127882376.0	20232749.0
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	8584538.0	4800997.0	0.0	415253.0	873246.0	14281937.0	3351817.0	51.28970221812865	0.8	0.7	39.8	0.0	0.0	directional	4349208.0	4235330.0	214067247.0	16737352.0	53906925.0	123031034.0	21558852.0
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	10350515.0	5272805.0	0.0	655879.0	1372799.0	18089905.0	1881716.0	59.12878442523626	1.0	0.9	40.1	0.0	0.0	directional	5241515.0	5109000.0	262609611.0	17505036.0	65894038.0	149583077.0	27013913.0
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	8338823.0	4814465.0	0.0	290929.0	610884.0	15336641.0	4296402.0	47.787800241723495	0.6	0.5	52.5	0.0	0.0	directional	4209442.0	4129381.0	203187590.0	17449690.0	52316874.0	120733818.0	13898444.0
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	8311002.0	4775047.0	0.0	430688.0	905353.0	14728749.0	4074437.0	48.43104093905033	0.8	0.8	46.9	0.0	0.0	directional	4151763.0	4159239.0	203017431.0	17160486.0	52072995.0	118235873.0	16643773.0
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	8814728.0	4937878.0	0.0	524633.0	1124812.0	16151988.0	3608527.0	50.77276926569251	1.0	0.9	49.9	0.0	0.0	directional	4406407.0	4408321.0	214308367.0	17361133.0	54683468.0	125620778.0	16202688.0
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	10508425.0	4986588.0	0.0	354975.0	723709.0	16375379.0	1981783.0	60.12786897552618	0.5	0.5	33.8	0.0	0.0	directional	5336800.0	5171625.0	266146260.0	17476796.0	67349512.0	149325964.0	32016721.0
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	7699607.0	4513217.0	0.0	327005.0	702660.0	12873601.0	4874587.0	45.060114724225926	0.7	0.6	47.4	0.0	0.0	directional	3937882.0	3761725.0	183588643.0	17087411.0	46917162.0	108496386.0	14271829.0
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	9166010.0	5436920.0	0.0	463809.0	947631.0	15926111.0	2581497.0	53.33904936137819	0.8	0.7	38.0	0.0	0.0	directional	4580180.0	4585830.0	232638011.0	17184427.0	59043997.0	130294764.0	25961699.0
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	9126516.0	5499348.0	0.0	457172.0	904792.0	16115245.0	2371953.0	53.6922829560996	0.8	0.7	38.6	0.0	0.0	directional	4560213.0	4566303.0	231864371.0	16997817.0	59219235.0	129480928.0	25686999.0
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	9299283.0	5514849.0	0.0	395649.0	780032.0	15953628.0	2225784.0	54.57352606667779	0.6	0.6	35.8	0.0	0.0	directional	4645286.0	4653997.0	238136905.0	17039916.0	60525874.0	131885825.0	28595897.0
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	10065939.0	5370112.0	0.0	512192.0	1064640.0	17202957.0	1829439.0	58.30091703160466	0.8	0.7	37.6	0.0	0.0	directional	5039749.0	5026190.0	256651958.0	17265490.0	64726516.0	144559592.0	28586061.0
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	9136124.0	5214558.0	0.0	561942.0	1165057.0	15938163.0	2686101.0	53.62587526060525	1.0	0.9	40.8	0.0	0.0	directional	4573227.0	4562897.0	230046955.0	17036783.0	58458411.0	130788816.0	23134566.0
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	8906500.0	5128246.0	0.0	485140.0	1013717.0	15769552.0	3058271.0	52.106073491882675	0.9	0.8	43.5	0.0	0.0	directional	4451200.0	4455300.0	220526416.0	17093017.0	56525990.0	126267195.0	20464822.0
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	8606302.0	5076805.0	0.0	422885.0	867647.0	15056735.0	3263265.0	50.78551326502215	0.8	0.7	43.6	0.0	0.0	directional	4296820.0	4309482.0	212350061.0	16946372.0	54321325.0	122203474.0	19477995.0
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	9685135.0	5492220.0	0.0	322139.0	653539.0	16503532.0	2036238.0	56.264459139936676	0.5	0.5	36.0	0.0	0.0	directional	4839053.0	4846082.0	248656323.0	17213593.0	63034463.0	138863454.0	29279196.0
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	10338871.0	5281710.0	0.0	539357.0	1144205.0	17621458.0	1756883.0	59.49585624231476	0.8	0.8	38.8	0.0	0.0	directional	5252652.0	5086219.0	262976733.0	17377464.0	66349445.0	149534231.0	27788037.0
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	8332377.0	4905636.0	0.0	401581.0	842210.0	14434547.0	3619040.0	49.429618569746445	0.8	0.7	44.6	0.0	0.0	directional	4174536.0	4157841.0	203368312.0	16857053.0	52195723.0	117548254.0	17945997.0
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	8570101.0	4899402.0	1.0	560968.0	1160008.0	14956487.0	3550531.0	50.353019271289355	1.0	0.9	43.6	0.0	0.0	directional	4278346.0	4291754.0	212167197.0	17020034.0	54179035.0	122000939.0	19309760.0
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	8868905.0	5226856.0	0.0	456108.0	928598.0	15666268.0	2995449.0	51.89161563166095	0.8	0.7	45.0	0.0	0.0	directional	4429229.0	4439676.0	217722678.0	17091210.0	55894764.0	125602577.0	19174363.0
cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	10883429.0	5017588.0	0.0	461312.0	959594.0	18714709.0	1504276.0	62.52942136624762	0.6	0.6	38.6	0.0	0.0	directional	5440245.0	5443184.0	280027940.0	17405293.0	70593132.0	159565468.0	29733725.0
lambda.DNA027585_S11-subsamp18M-s18_R1_001_val_1	118170.0	0.0	0.0	3416.0	4804.0	3020.0	16705218.0	0.7024149951246443	0.4	0.4	0.4	0.0	0.0	directional	57295.0	60875.0	2757959.0	16823388.0	808431.0	1181634.0	756654.0
lambda.DNA027586_S12-subsamp18M-s18_R1_001_val_1	663146.0	0.0	0.0	19022.0	26826.0	17127.0	16530215.0	3.8569887528098783	0.4	0.4	0.4	0.0	0.0	directional	319826.0	343320.0	15610300.0	17193361.0	4558230.0	6709432.0	4279663.0
lambda.DNA032997_S29-subsamp18M-s18_R1_001_val_1	103183.0	0.0	0.0	5731.0	8609.0	5242.0	17009531.0	0.6029610498954169	0.8	0.8	0.8	0.0	0.0	directional	49364.0	53819.0	2412527.0	17112714.0	699094.0	1037378.0	656473.0
lambda.DNA032998_S30-subsamp18M-s18_R1_001_val_1	28375.0	0.0	0.0	1632.0	2575.0	1654.0	17322747.0	0.16353409306902458	0.8	0.9	0.9	0.0	0.0	directional	13558.0	14817.0	663237.0	17351122.0	193040.0	283510.0	180826.0
lambda.cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	248918.0	0.0	0.0	13378.0	19518.0	12051.0	16251800.0	1.5085282955565933	0.8	0.8	0.8	0.0	0.0	directional	121704.0	127214.0	5876842.0	16500718.0	1694776.0	2551151.0	1585968.0
lambda.cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	375610.0	0.0	0.0	24011.0	34669.0	21754.0	15758652.0	2.328027151164398	0.9	0.9	0.9	0.0	0.0	directional	181938.0	193672.0	8817079.0	16134262.0	2546922.0	3810128.0	2379595.0
lambda.cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	117550.0	0.0	0.0	8053.0	12030.0	7485.0	16185372.0	0.7210363884461939	1.0	1.0	1.0	0.0	0.0	directional	56804.0	60746.0	2773757.0	16302922.0	801316.0	1195634.0	749239.0
lambda.cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	474010.0	0.0	0.0	26168.0	37761.0	23370.0	15957823.0	2.884705559020713	0.8	0.8	0.8	0.0	0.0	directional	228861.0	245149.0	11108770.0	16431833.0	3216407.0	4798501.0	3006563.0
lambda.cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	169571.0	0.0	0.0	10028.0	14816.0	9133.0	15938628.0	1.052699932500213	0.9	0.8	0.8	0.0	0.0	directional	82136.0	87435.0	3998982.0	16108199.0	1152886.0	1731411.0	1080708.0
lambda.cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	413477.0	0.0	0.0	20028.0	28614.0	17942.0	15672352.0	2.57044259266961	0.7	0.7	0.7	0.0	0.0	directional	202220.0	211257.0	9791922.0	16085829.0	2839572.0	4241428.0	2644338.0
lambda.cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	377464.0	0.0	0.0	25753.0	37869.0	23728.0	15292083.0	2.4089018016921613	1.0	1.0	1.0	0.0	0.0	directional	183647.0	193817.0	8865880.0	15669547.0	2560804.0	3826968.0	2390758.0
lambda.cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	103618.0	0.0	0.0	5832.0	8214.0	4963.0	16157137.0	0.6372274842096816	0.8	0.8	0.7	0.0	0.0	directional	50350.0	53268.0	2461248.0	16260755.0	712765.0	1063905.0	665569.0
lambda.cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	151244.0	0.0	0.0	8093.0	11597.0	7226.0	16430943.0	0.9120871692015052	0.8	0.7	0.7	0.0	0.0	directional	73354.0	77890.0	3581186.0	16582187.0	1032152.0	1553933.0	968185.0
lambda.cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	881665.0	0.0	0.0	50811.0	74322.0	46624.0	15582262.0	5.355131858881541	0.8	0.8	0.8	0.0	0.0	directional	407263.0	474402.0	20695322.0	16463927.0	5992161.0	8894483.0	5636921.0
lambda.cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	587103.0	0.0	0.0	35738.0	52371.0	32649.0	15598249.0	3.627372453808851	0.9	0.9	0.9	0.0	0.0	directional	285161.0	301942.0	13903581.0	16185352.0	4006966.0	6024354.0	3751503.0
lambda.cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	597744.0	0.0	0.0	32032.0	46700.0	29642.0	15668294.0	3.6747977596019386	0.8	0.8	0.8	0.0	0.0	directional	290351.0	307393.0	14189863.0	16266038.0	4101065.0	6142619.0	3837805.0
lambda.cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	34641.0	0.0	0.0	1598.0	2432.0	1497.0	16972635.0	0.2036834117350715	0.7	0.7	0.7	0.0	0.0	directional	17013.0	17628.0	819434.0	17007276.0	237047.0	355415.0	221445.0
lambda.cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	606381.0	0.0	0.0	35670.0	52263.0	32492.0	15750867.0	3.7071089219898115	0.9	0.8	0.8	0.0	0.0	directional	293733.0	312648.0	14281617.0	16357248.0	4122548.0	6189761.0	3848883.0
lambda.cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	203992.0	0.0	0.0	8300.0	11838.0	7717.0	17044104.0	1.18269286070764	0.6	0.6	0.6	0.0	0.0	directional	96854.0	107138.0	4793199.0	17248096.0	1390806.0	2067397.0	1307141.0
lambda.cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	167198.0	0.0	0.0	12468.0	18339.0	11470.0	16493831.0	1.0035274531963183	1.1	1.1	1.1	0.0	0.0	directional	79827.0	87371.0	3943106.0	16661029.0	1141386.0	1691611.0	1067832.0
lambda.cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	114134.0	0.0	0.0	5282.0	7701.0	5014.0	17060845.0	0.6645364748335355	0.7	0.7	0.7	0.0	0.0	directional	54193.0	59941.0	2666321.0	17174979.0	775423.0	1144924.0	727977.0
lambda.cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	91561.0	0.0	0.0	3633.0	5941.0	3651.0	17492265.0	0.5207114765580597	0.6	0.6	0.6	0.0	0.0	directional	42276.0	49285.0	2131600.0	17583826.0	615395.0	919729.0	583251.0
lambda.cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	133982.0	0.0	0.0	5982.0	8959.0	5879.0	17184376.0	0.7736414734006538	0.7	0.7	0.7	0.0	0.0	directional	63176.0	70806.0	3132012.0	17318358.0	910703.0	1343539.0	856950.0
lambda.cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	338389.0	0.0	0.0	15148.0	21914.0	14777.0	16810306.0	1.9732638547714565	0.7	0.6	0.7	0.0	0.0	directional	162750.0	175639.0	7986324.0	17148695.0	2305847.0	3458713.0	2169925.0
lambda.cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	234587.0	0.0	0.0	11015.0	16020.0	10615.0	16992649.0	1.3617216365991618	0.7	0.7	0.7	0.0	0.0	directional	113612.0	120975.0	5549084.0	17227236.0	1606402.0	2398574.0	1506458.0
lambda.cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	416079.0	0.0	0.0	23987.0	35276.0	21982.0	16321273.0	2.4859308688734036	0.8	0.8	0.8	0.0	0.0	directional	201585.0	214494.0	9809642.0	16737352.0	2829757.0	4254559.0	2644081.0
lambda.cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	56595.0	0.0	0.0	3999.0	5810.0	3890.0	17448441.0	0.3233069614938238	1.0	1.0	1.1	0.0	0.0	directional	27213.0	29382.0	1339035.0	17505036.0	385274.0	577566.0	362496.0
lambda.cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	268894.0	0.0	0.0	8846.0	13479.0	8557.0	17180796.0	1.5409672034288289	0.5	0.5	0.5	0.0	0.0	directional	129575.0	139319.0	6343379.0	17449690.0	1831305.0	2747229.0	1733963.0
lambda.cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	499954.0	0.0	0.0	28129.0	42785.0	26728.0	16660532.0	2.9134023360410657	0.8	0.8	0.8	0.0	0.0	directional	238465.0	261489.0	11747001.0	17160486.0	3411145.0	5044599.0	3193615.0
lambda.cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	359991.0	0.0	0.0	23015.0	35020.0	22099.0	17001142.0	2.0735455456737757	0.9	1.0	1.0	0.0	0.0	directional	171112.0	188879.0	8445188.0	17361133.0	2429516.0	3645245.0	2290293.0
lambda.cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	85635.0	0.0	0.0	2913.0	4421.0	2756.0	17391161.0	0.4899925592768835	0.5	0.5	0.5	0.0	0.0	directional	40408.0	45227.0	2009221.0	17476796.0	583858.0	863136.0	552137.0
lambda.cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	882845.0	0.0	0.0	41569.0	60925.0	38413.0	16204566.0	5.1666399315847205	0.7	0.7	0.7	0.0	0.0	directional	422635.0	460210.0	20841001.0	17087411.0	6027849.0	9004270.0	5667975.0
lambda.cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	192212.0	0.0	0.0	10382.0	16015.0	9944.0	16992215.0	1.1185243476550017	0.8	0.8	0.8	0.0	0.0	directional	93158.0	99054.0	4539185.0	17184427.0	1316582.0	1956595.0	1229667.0
lambda.cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	155649.0	0.0	0.0	8120.0	12030.0	7607.0	16842168.0	0.9156999395863598	0.7	0.8	0.8	0.0	0.0	directional	74348.0	81301.0	3695557.0	16997817.0	1077016.0	1585161.0	1005623.0
lambda.cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	193065.0	0.0	0.0	8686.0	12681.0	7851.0	16846851.0	1.1330161486711554	0.6	0.6	0.6	0.0	0.0	directional	92310.0	100755.0	4574742.0	17039916.0	1328672.0	1971984.0	1244868.0
lambda.cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	66993.0	0.0	0.0	3538.0	5647.0	3491.0	17198497.0	0.38801678956114194	0.8	0.8	0.8	0.0	0.0	directional	32256.0	34737.0	1573164.0	17265490.0	456475.0	675479.0	428534.0
lambda.cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	131923.0	0.0	0.0	9115.0	13759.0	8244.0	16904860.0	0.7743421982894306	1.0	1.0	1.0	0.0	0.0	directional	63411.0	68512.0	3125239.0	17036783.0	904788.0	1342193.0	847140.0
lambda.cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	481847.0	0.0	0.0	28335.0	41949.0	25982.0	16611170.0	2.8189698752420362	0.9	0.9	0.8	0.0	0.0	directional	230797.0	251050.0	11325042.0	17093017.0	3282722.0	4872729.0	3073325.0
lambda.cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	316861.0	0.0	0.0	16900.0	25271.0	15838.0	16629511.0	1.8697866422382323	0.8	0.8	0.8	0.0	0.0	directional	152720.0	164141.0	7476246.0	16946372.0	2165741.0	3227735.0	2024761.0
lambda.cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	71790.0	0.0	0.0	2535.0	3821.0	2410.0	17141803.0	0.41705412693329047	0.5	0.5	0.5	0.0	0.0	directional	34240.0	37550.0	1695544.0	17213593.0	494050.0	730607.0	462121.0
lambda.cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	69693.0	0.0	0.0	3887.0	5823.0	3571.0	17307771.0	0.4010539167280105	0.8	0.8	0.8	0.0	0.0	directional	33570.0	36123.0	1655308.0	17377464.0	481690.0	711744.0	448593.0
lambda.cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	470773.0	0.0	0.0	24778.0	36343.0	23335.0	16386280.0	2.792736073143983	0.8	0.8	0.8	0.0	0.0	directional	226871.0	243902.0	11071205.0	16857053.0	3213452.0	4765870.0	3007427.0
