AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
DNA027585_S11-subsamp18M-s18_R1_001_val_1	23872437	0.085	9.78	3.34	144214828	31363087	0.217	5.03	4.39	200305765	56903294	0.284	6.99	7.96	221340539	17607820	0.080	7.73	2.46	845903867	131640600	0.156	29.53	17.96	207810289	48256049	0.232	7.25	6.75	149236511	73916961	0.495	5.21	10.34	28245162	42755302	1.514	0.99	5.98	200417614	52824074	0.264	7.00	7.39	585709826	225480377	0.385	20.45	30.75	169975490	44047951	0.259	5.93	6.16	122200725	77513245	0.634	4.27	10.84	149305392	87794490	0.588	5.21	12.28	144544873	33400505	0.231	5.05	4.67	586026532	247947788	0.423	20.46	33.82		188075325	13171166	0.070	6.57	1.84	170057716	38823920	0.228	5.94	5.43	208169963	50208653	0.241	7.27	7.02	280841927	22728464	0.081	9.80	3.18	847144995	128099378	0.151	29.57	17.47
DNA027586_S12-subsamp18M-s18_R1_001_val_1	25443051	0.091	9.78	3.78	144214828	29984829	0.208	5.03	4.45	200305765	54325299	0.271	6.99	8.06	221340539	20003116	0.090	7.73	2.97	845903867	131726469	0.156	29.53	19.08	207810289	46128504	0.222	7.25	6.84	149236511	64784669	0.434	5.21	9.61	28245162	33765038	1.195	0.99	5.01	200417614	50167908	0.250	7.00	7.44	585709826	201656705	0.344	20.45	29.20	169975490	42105394	0.248	5.93	6.25	122200725	66470330	0.544	4.27	9.86	149305392	78436810	0.525	5.21	11.64	144544873	34041610	0.236	5.05	5.05	586026532	225725837	0.385	20.46	32.69		188075325	15708639	0.084	6.57	2.33	170057716	36947267	0.217	5.94	5.48	208169963	50267159	0.241	7.27	7.46	280841927	25391344	0.090	9.80	3.77	847144995	131419024	0.155	29.57	19.03
DNA032997_S29-subsamp18M-s18_R1_001_val_1	32583108	0.116	9.78	3.93	144214828	37452960	0.260	5.03	4.52	200305765	66717903	0.333	6.99	8.05	221340539	23800297	0.108	7.73	2.87	845903867	162828241	0.192	29.53	19.19	207810289	57485220	0.277	7.25	6.94	149236511	80667072	0.541	5.21	9.73	28245162	42955066	1.521	0.99	5.18	200417614	62042359	0.310	7.00	7.49	585709826	251338695	0.429	20.45	29.61	169975490	51480884	0.303	5.93	6.21	122200725	82803809	0.678	4.27	9.99	149305392	94575243	0.633	5.21	11.41	144544873	40239402	0.278	5.05	4.86	586026532	275062874	0.469	20.46	32.41		188075325	18470317	0.098	6.57	2.23	170057716	45755500	0.269	5.94	5.52	208169963	60253159	0.289	7.27	7.27	280841927	31378163	0.112	9.80	3.79	847144995	159468314	0.188	29.57	18.79
DNA032998_S30-subsamp18M-s18_R1_001_val_1	36028190	0.129	9.78	4.03	144214828	40368740	0.280	5.03	4.51	200305765	72444779	0.362	6.99	8.10	221340539	26089440	0.118	7.73	2.92	845903867	177392535	0.210	29.53	19.37	207810289	62056397	0.299	7.25	6.94	149236511	85320950	0.572	5.21	9.54	28245162	45615764	1.615	0.99	5.10	200417614	67005832	0.334	7.00	7.49	585709826	268681730	0.459	20.45	29.34	169975490	55940146	0.329	5.93	6.25	122200725	88645838	0.725	4.27	9.91	149305392	101350692	0.679	5.21	11.33	144544873	43643584	0.302	5.05	4.88	586026532	295898375	0.505	20.46	32.31		188075325	20309545	0.108	6.57	2.27	170057716	49325763	0.290	5.94	5.52	208169963	65377259	0.314	7.27	7.31	280841927	34808870	0.124	9.80	3.89	847144995	173706946	0.205	29.57	18.97
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	24618604	0.088	9.78	3.52	144214828	31232725	0.217	5.03	4.47	200305765	55464415	0.277	6.99	7.93	221340539	18061128	0.082	7.73	2.58	845903867	131306616	0.155	29.53	18.32	207810289	47971470	0.231	7.25	6.86	149236511	72238988	0.484	5.21	10.33	28245162	39872608	1.412	0.99	5.70	200417614	52428420	0.262	7.00	7.50	585709826	219633908	0.375	20.45	30.64	169975490	42802112	0.252	5.93	6.12	122200725	73437193	0.601	4.27	10.50	149305392	82733263	0.554	5.21	11.83	144544873	32896195	0.228	5.05	4.70	586026532	237075580	0.405	20.46	33.08		188075325	13647241	0.073	6.57	1.95	170057716	38707241	0.228	5.94	5.53	208169963	49608562	0.238	7.27	7.09	280841927	23727752	0.084	9.80	3.39	847144995	128721689	0.152	29.57	17.96
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	22989724	0.082	9.78	3.48	144214828	29380432	0.204	5.03	4.45	200305765	52456567	0.262	6.99	7.94	221340539	17018412	0.077	7.73	2.58	845903867	123662692	0.146	29.53	18.26	207810289	45245728	0.218	7.25	6.85	149236511	68050968	0.456	5.21	10.30	28245162	37630972	1.332	0.99	5.70	200417614	49360130	0.246	7.00	7.47	585709826	207157724	0.354	20.45	30.59	169975490	40458520	0.238	5.93	6.12	122200725	69689892	0.570	4.27	10.55	149305392	79122691	0.530	5.21	11.98	144544873	31109903	0.215	5.05	4.71	586026532	225347325	0.385	20.46	33.28		188075325	12876108	0.068	6.57	1.95	170057716	36262147	0.213	5.94	5.49	208169963	46984065	0.226	7.27	7.11	280841927	22055894	0.079	9.80	3.34	847144995	121029920	0.143	29.57	17.87
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	23331936	0.083	9.78	3.47	144214828	29777245	0.206	5.03	4.43	200305765	53023816	0.265	6.99	7.89	221340539	17122315	0.077	7.73	2.55	845903867	125061589	0.148	29.53	18.17	207810289	45760507	0.220	7.25	6.81	149236511	70018033	0.469	5.21	10.42	28245162	39106592	1.385	0.99	5.82	200417614	49986044	0.249	7.00	7.44	585709826	211785220	0.362	20.45	30.77	169975490	40892347	0.241	5.93	6.09	122200725	71245867	0.583	4.27	10.61	149305392	80492940	0.539	5.21	11.98	144544873	31394572	0.217	5.05	4.67	586026532	229109460	0.391	20.46	33.29		188075325	12943606	0.069	6.57	1.93	170057716	36824550	0.217	5.94	5.48	208169963	47390442	0.228	7.27	7.06	280841927	22345959	0.080	9.80	3.33	847144995	122361710	0.144	29.57	17.78
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	24301835	0.087	9.78	3.52	144214828	30519162	0.212	5.03	4.42	200305765	54677414	0.273	6.99	7.91	221340539	17799456	0.080	7.73	2.58	845903867	129169366	0.153	29.53	18.24	207810289	46755133	0.225	7.25	6.76	149236511	71068188	0.476	5.21	10.28	28245162	40449059	1.432	0.99	5.85	200417614	51096227	0.255	7.00	7.39	585709826	216440319	0.370	20.45	30.56	169975490	42321720	0.249	5.93	6.12	122200725	73177489	0.599	4.27	10.59	149305392	83157225	0.557	5.21	12.03	144544873	32538367	0.225	5.05	4.71	586026532	236411981	0.403	20.46	33.38		188075325	13569984	0.072	6.57	1.96	170057716	37721972	0.222	5.94	5.46	208169963	48755433	0.234	7.27	7.05	280841927	23297570	0.083	9.80	3.37	847144995	126318891	0.149	29.57	17.83
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	25663690	0.092	9.78	3.64	144214828	31595823	0.219	5.03	4.48	200305765	56183553	0.280	6.99	7.96	221340539	18689073	0.084	7.73	2.65	845903867	134080192	0.159	29.53	18.54	207810289	48485982	0.233	7.25	6.87	149236511	71945710	0.482	5.21	10.19	28245162	39528526	1.399	0.99	5.60	200417614	52685109	0.263	7.00	7.46	585709826	219817711	0.375	20.45	30.39	169975490	43355000	0.255	5.93	6.14	122200725	73404990	0.601	4.27	10.40	149305392	83045565	0.556	5.21	11.77	144544873	33398425	0.231	5.05	4.73	586026532	238458785	0.407	20.46	32.97		188075325	14277211	0.076	6.57	2.02	170057716	38802926	0.228	5.94	5.50	208169963	50297067	0.242	7.27	7.13	280841927	24456606	0.087	9.80	3.47	847144995	130862524	0.154	29.57	18.09
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	23008592	0.082	9.78	3.52	144214828	29491360	0.204	5.03	4.51	200305765	52129363	0.260	6.99	7.98	221340539	17176313	0.078	7.73	2.63	845903867	123638291	0.146	29.53	18.46	207810289	45531888	0.219	7.25	6.97	149236511	67266483	0.451	5.21	10.29	28245162	35504901	1.257	0.99	5.43	200417614	49546868	0.247	7.00	7.58	585709826	204566173	0.349	20.45	30.55	169975490	40060693	0.236	5.93	6.13	122200725	67676017	0.554	4.27	10.36	149305392	76576113	0.513	5.21	11.72	144544873	30989416	0.214	5.05	4.74	586026532	220103537	0.376	20.46	32.87		188075325	12918395	0.069	6.57	1.98	170057716	36404788	0.214	5.94	5.57	208169963	47068140	0.226	7.27	7.20	280841927	22153093	0.079	9.80	3.39	847144995	121389914	0.143	29.57	18.13
