Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
DNA027585_S11-subsamp18M-s18_R1_001_val_1	8422034.0	1236758.0	14.68	7185276.0	85.32
DNA027586_S12-subsamp18M-s18_R1_001_val_1	7432347.0	1127283.0	15.17	6305064.0	84.83
DNA032997_S29-subsamp18M-s18_R1_001_val_1	9302956.0	1541078.0	16.57	7761878.0	83.43
DNA032998_S30-subsamp18M-s18_R1_001_val_1	9948253.0	1574957.0	15.83	8373296.0	84.17
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	7998663.0	1430791.0	17.89	6567872.0	82.11
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	7759037.0	1359782.0	17.53	6399255.0	82.47
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	7856158.0	1468710.0	18.7	6387448.0	81.3
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	8018162.0	1449179.0	18.07	6568983.0	81.93
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	8031629.0	1447789.0	18.03	6583840.0	81.97
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	7617549.0	1280756.0	16.81	6336793.0	83.19
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	7000729.0	1378776.0	19.69	5621953.0	80.31
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	8449849.0	1560960.0	18.47	6888889.0	81.53
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	8395213.0	1654769.0	19.71	6740444.0	80.29
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	7275474.0	1209992.0	16.63	6065482.0	83.37
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	6926430.0	1455256.0	21.01	5471174.0	78.99
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	7408036.0	1385571.0	18.7	6022465.0	81.3
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	9719568.0	1758965.0	18.1	7960603.0	81.9
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	6990475.0	1577739.0	22.57	5412736.0	77.43
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	8784915.0	1189312.0	13.54	7595603.0	86.46
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	8099926.0	1208209.0	14.92	6891717.0	85.08
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	8208771.0	1371614.0	16.71	6837157.0	83.29
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	9006529.0	1913147.0	21.24	7093382.0	78.76
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	8575672.0	1305057.0	15.22	7270615.0	84.78
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	7821305.0	1085728.0	13.88	6735577.0	86.12
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	8168104.0	1162127.0	14.23	7005977.0	85.77
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	8011757.0	1688349.0	21.07	6323408.0	78.93
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	9451286.0	1573207.0	16.65	7878079.0	83.35
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	7599485.0	1170506.0	15.4	6428979.0	84.6
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	7655191.0	1000741.0	13.07	6654450.0	86.93
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	7748773.0	1304514.0	16.84	6444259.0	83.16
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	9645625.0	1552273.0	16.09	8093352.0	83.91
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	6674315.0	895635.0	13.42	5778680.0	86.58
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	8578757.0	1188104.0	13.85	7390653.0	86.15
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	8574745.0	1226344.0	14.3	7348401.0	85.7
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	8594992.0	1233895.0	14.36	7361097.0	85.64
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	9429658.0	1498319.0	15.89	7931339.0	84.11
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	8563160.0	1884117.0	22.0	6679043.0	78.0
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	8344856.0	1198674.0	14.36	7146182.0	85.64
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	7996886.0	1313276.0	16.42	6683610.0	83.58
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	9099819.0	1355161.0	14.89	7744658.0	85.11
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	9534413.0	1598061.0	16.76	7936352.0	83.24
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	7811097.0	1224867.0	15.68	6586230.0	84.32
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	7897029.0	1328989.0	16.83	6568040.0	83.17
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	8286150.0	1335119.0	16.11	6951031.0	83.89
cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	10063140.0	1629748.0	16.2	8433392.0	83.8
