Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
DNA027585_S11-subsamp18M-s18_R1_001_val_1	36172.0	78428.0	1809701.0	0.5	0.4	38.1	30607066.0	7622859.0	18125533.0	2934373.0
DNA027586_S12-subsamp18M-s18_R1_001_val_1	135430.0	280495.0	7824884.0	0.4	0.4	39.3	121643026.0	30835918.0	70496065.0	12070234.0
DNA032997_S29-subsamp18M-s18_R1_001_val_1	351229.0	745086.0	11052723.0	0.8	0.8	40.9	167718270.0	41960666.0	97663610.0	15944956.0
DNA032998_S30-subsamp18M-s18_R1_001_val_1	399622.0	859266.0	12711392.0	0.9	0.8	43.1	185505044.0	46548672.0	108207793.0	16778299.0
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	273878.0	570136.0	8554161.0	0.8	0.7	36.1	137785618.0	34441265.0	78776850.0	15169328.0
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	83542.0	182024.0	1965026.0	1.0	0.9	38.5	33564605.0	8261399.0	19927189.0	3145425.0
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	95472.0	213944.0	2139910.0	1.1	1.0	39.2	36452622.0	8960677.0	21722753.0	3319866.0
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	74848.0	164928.0	2150744.0	0.8	0.8	39.6	36136264.0	8878745.0	21588652.0	3278347.0
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	81216.0	179629.0	2133578.0	0.9	0.8	39.9	36003201.0	8824367.0	21566646.0	3217765.0
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	61477.0	136302.0	1836160.0	0.8	0.7	38.3	31734019.0	7836805.0	18905963.0	2957312.0
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	86362.0	192111.0	1938157.0	1.0	1.0	40.2	33315732.0	8210879.0	20000140.0	2888083.0
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	302709.0	607759.0	9533320.0	0.8	0.7	35.9	153623565.0	38328658.0	87805613.0	17045506.0
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	82536.0	182910.0	2468042.0	0.8	0.7	41.9	41262148.0	10098785.0	25001254.0	3428621.0
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	68270.0	151319.0	1765276.0	0.9	0.8	41.3	29480832.0	7223112.0	17766429.0	2506426.0
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	274990.0	585167.0	7629702.0	0.9	0.8	42.3	117535429.0	29379916.0	69272612.0	10393042.0
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	260810.0	556726.0	8527992.0	0.8	0.7	44.1	127057068.0	31898767.0	75012362.0	10800411.0
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	330101.0	702632.0	12458539.0	0.7	0.6	41.2	193832520.0	48223767.0	114371740.0	17745741.0
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	265771.0	586324.0	7688710.0	0.9	0.8	41.8	120118918.0	29894731.0	70994198.0	10689184.0
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	46153.0	103753.0	1844966.0	0.6	0.6	40.1	29923508.0	7375505.0	17799062.0	2754069.0
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	82070.0	188753.0	1824362.0	1.1	1.1	40.3	29903880.0	7336982.0	17765477.0	2706236.0
cfDNA000074_S6-subsamp18M-s18_R1_001_val_1	57812.0	131932.0	1999147.0	0.7	0.7	40.7	33046671.0	8152749.0	19796211.0	2908820.0
cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	85260.0	198201.0	2951051.0	0.7	0.7	47.1	46473648.0	11297262.0	28626730.0	3315144.0
cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	58795.0	134847.0	2000766.0	0.7	0.7	41.7	32401191.0	7942137.0	19469839.0	2794807.0
cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	46104.0	103166.0	1620371.0	0.7	0.6	40.8	26764582.0	6582795.0	16065019.0	2347127.0
cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	228259.0	488693.0	9322326.0	0.7	0.6	44.8	135328030.0	34222468.0	79595016.0	11471268.0
cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	278502.0	607139.0	9277512.0	0.8	0.7	41.6	141333415.0	35338837.0	82823424.0	13008001.0
cfDNA000080_S8-subsamp18M-s18_R1_001_val_1	453663.0	983061.0	12007884.0	1.0	1.0	42.4	176107128.0	43926814.0	102453159.0	16282547.0
cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	178488.0	391351.0	9423438.0	0.6	0.5	54.1	126159430.0	32090630.0	76094206.0	7981317.0
cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	53543.0	122700.0	1491570.0	0.9	0.8	41.9	24471141.0	6035755.0	14700437.0	2067136.0
cfDNA000083_S22-subsamp18M-s18_R1_001_val_1	77702.0	182044.0	1947657.0	1.0	1.0	44.2	31242276.0	7640713.0	18937781.0	2456379.0
cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	56576.0	126620.0	2484714.0	0.6	0.5	43.1	39339038.0	9688912.0	23705848.0	3276368.0
cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	193084.0	431152.0	7583898.0	0.7	0.7	49.5	108037866.0	27283883.0	64810149.0	7735700.0
cfDNA000087_S10-subsamp18M-s18_R1_001_val_1	64022.0	144788.0	1770593.0	0.9	0.8	38.4	29669946.0	7309066.0	17539789.0	2841688.0
cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	62526.0	138799.0	1794818.0	0.8	0.8	38.6	30367980.0	7500295.0	18015462.0	2856080.0
cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	53936.0	117953.0	1857908.0	0.7	0.6	38.4	31028280.0	7646968.0	18370105.0	2981410.0
cfDNA000090_S12-subsamp18M-s18_R1_001_val_1	346595.0	747848.0	11145302.0	0.8	0.8	39.7	167859277.0	42123502.0	96539838.0	16956192.0
cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	368443.0	792067.0	9872936.0	1.0	0.9	42.7	144764422.0	36546844.0	83918566.0	13265566.0
cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	66756.0	155553.0	1754571.0	0.9	0.9	40.2	29333034.0	7243236.0	17506002.0	2606916.0
cfDNA000093_S26-subsamp18M-s18_R1_001_val_1	263499.0	560758.0	8998483.0	0.8	0.7	45.3	128767057.0	32689746.0	75368750.0	10885821.0
cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	49387.0	111666.0	2076652.0	0.6	0.5	40.1	34116608.0	8382066.0	20391957.0	3104880.0
cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	380293.0	833706.0	11946972.0	0.8	0.8	41.5	177881726.0	44631076.0	103240080.0	16849599.0
cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	60385.0	140202.0	1727914.0	0.8	0.8	40.9	29433626.0	7279248.0	17728201.0	2497676.0
cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	90698.0	207949.0	1893253.0	1.1	1.1	41.9	32115924.0	7946979.0	19350845.0	2626200.0
cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	68314.0	155838.0	1902803.0	0.9	0.8	42.1	31860194.0	7868849.0	19245312.0	2619078.0
cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	76076.0	175674.0	2622677.0	0.8	0.7	44.8	41423398.0	10059541.0	25261246.0	3228184.0
lambda.DNA027585_S11-subsamp18M-s18_R1_001_val_1	1579.0	2287.0	1350.0	0.4	0.4	0.4	1240572.0	359682.0	541762.0	333912.0
lambda.DNA027586_S12-subsamp18M-s18_R1_001_val_1	3286.0	4956.0	2894.0	0.4	0.4	0.4	2658517.0	759500.0	1179393.0	708488.0
lambda.DNA032997_S29-subsamp18M-s18_R1_001_val_1	2816.0	4446.0	2621.0	0.8	0.8	0.8	1240084.0	356659.0	540365.0	333177.0
lambda.DNA032998_S30-subsamp18M-s18_R1_001_val_1	1007.0	1647.0	1019.0	0.8	0.9	0.9	422297.0	122297.0	182066.0	114261.0
lambda.cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	5183.0	7925.0	4722.0	0.8	0.7	0.7	2402584.0	682601.0	1061905.0	640248.0
lambda.cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	6884.0	10599.0	6201.0	0.9	0.9	0.9	2726949.0	771178.0	1209593.0	722494.0
