Sample	r_processed	r_with_adapters	bp_processed	bp_written	percent_trimmed
DNA027585_S11-subsamp18M-s18_R1_001	18000000	12379298	917521499	775750985	15.451465077877154
DNA027585_S11-subsamp18M-s18_R2_001	18000000	13680770	916598271	776052670	15.333391459124845
DNA027586_S12-subsamp18M-s18_R1_001	18000000	11776522	917553279	803939543	12.38224946717236
DNA027586_S12-subsamp18M-s18_R2_001	18000000	13217336	916840911	804582613	12.24403237826284
DNA032997_S29-subsamp18M-s18_R1_001	18000000	11177954	917545937	807529388	11.99030419770689
DNA032997_S29-subsamp18M-s18_R2_001	18000000	12828769	916709081	807440348	11.919673892703589
DNA032998_S30-subsamp18M-s18_R1_001	18000000	10640300	917547368	824381411	10.153803525487309
DNA032998_S30-subsamp18M-s18_R2_001	18000000	12397873	916668683	824136691	10.09437692331418
cfDNA000057_S15-subsamp18M-s18_R1_001	18000000	11883933	916997736	776162304	15.358318398291008
cfDNA000057_S15-subsamp18M-s18_R2_001	18000000	13281676	915952329	779748943	14.87013916419661
cfDNA000058_S1-subsamp18M-s18_R1_001	18000000	12362084	917510515	758795393	17.29845265043093
cfDNA000058_S1-subsamp18M-s18_R2_001	18000000	13571698	915961081	764659882	16.51829997348981
cfDNA000059_S1-subsamp18M-s18_R1_001	18000000	12143297	917341081	765196625	16.585374747868727
cfDNA000059_S1-subsamp18M-s18_R2_001	18000000	13431689	915686144	769900105	15.920961560383729
cfDNA000060_S2-subsamp18M-s18_R1_001	18000000	11939495	917243444	771965675	15.838518111010888
cfDNA000060_S2-subsamp18M-s18_R2_001	18000000	13356290	916204634	774966261	15.415592517075174
cfDNA000061_S16-subsamp18M-s18_R1_001	18000000	12026049	917279157	759117953	17.24242863178892
cfDNA000061_S16-subsamp18M-s18_R2_001	18000000	13158747	914746600	774053861	15.380515106587989
cfDNA000062_S2-subsamp18M-s18_R1_001	18000000	11987055	917199176	760420599	17.09318772872513
cfDNA000062_S2-subsamp18M-s18_R2_001	18000000	13197697	915176435	775342328	15.279469799722282
cfDNA000063_S3-subsamp18M-s18_R1_001	18000000	12379008	917166999	739330097	19.38980602157492
cfDNA000063_S3-subsamp18M-s18_R2_001	18000000	12939286	913397529	773476760	15.318715516253603
cfDNA000064_S17-subsamp18M-s18_R1_001	18000000	11601780	916757867	772752033	15.708164520174222
cfDNA000064_S17-subsamp18M-s18_R2_001	18000000	12980914	915321992	782666839	14.492730881527862
cfDNA000065_S18-subsamp18M-s18_R1_001	18000000	11281106	917330494	789344589	13.951995037461383
cfDNA000065_S18-subsamp18M-s18_R2_001	18000000	12869756	915953071	791916424	13.541812449472099
cfDNA000066_S3-subsamp18M-s18_R1_001	18000000	11137826	917456705	789609542	13.934953257549084
cfDNA000066_S3-subsamp18M-s18_R2_001	18000000	12182183	914601712	813118712	11.09586814331264
cfDNA000067_S19-subsamp18M-s18_R1_001	18000000	11681711	916988713	769221872	16.114357669307537
cfDNA000067_S19-subsamp18M-s18_R2_001	18000000	12621706	914606031	793840753	13.204076280577247
cfDNA000068_S4-subsamp18M-s18_R1_001	18000000	11685745	917217389	772316194	15.797911895017508
cfDNA000068_S4-subsamp18M-s18_R2_001	18000000	12643988	914561224	798228488	12.720059953033827
cfDNA000069_S5-subsamp18M-s18_R1_001	18000000	10305712	917346016	817834135	10.847802166723532
cfDNA000069_S5-subsamp18M-s18_R2_001	18000000	12219039	916058082	820206186	10.463517312213396
cfDNA000071_S6-subsamp18M-s18_R1_001	18000000	11589175	917359863	780015805	14.971666359028399
cfDNA000071_S6-subsamp18M-s18_R2_001	18000000	12783580	915439265	793564120	13.313296649996765
cfDNA000072_S4-subsamp18M-s18_R1_001	18000000	11575706	917524555	805853128	12.170946967190432
cfDNA000072_S4-subsamp18M-s18_R2_001	18000000	12947190	916392608	811061399	11.49411377617747
cfDNA000073_S5-subsamp18M-s18_R1_001	18000000	12062578	917092737	772789422	15.734866189437502
cfDNA000073_S5-subsamp18M-s18_R2_001	18000000	12945070	914324211	797396769	12.788400503155877
