Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DNA027585_S11-subsamp18M-s18_R1_001_val_1	DNA027585_S11-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16823388.0	0.0	20-47	35.0	22.23677519149358	39.32092733045211	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DNA027585_S11-subsamp18M-s18_R2_001_val_2	DNA027585_S11-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16823388.0	0.0	20-47	37.0	23.131699734113692	40.65386692621011	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DNA027586_S12-subsamp18M-s18_R1_001_val_1	DNA027586_S12-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17193361.0	0.0	20-47	33.0	19.10779722731473	40.50769439436536	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
DNA027586_S12-subsamp18M-s18_R2_001_val_2	DNA027586_S12-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17193361.0	0.0	20-47	34.0	20.289392768325268	41.784925762915115	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
DNA032997_S29-subsamp18M-s18_R1_001_val_1	DNA032997_S29-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17112714.0	0.0	20-47	34.0	23.974677858857817	40.90236995721427	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DNA032997_S29-subsamp18M-s18_R2_001_val_2	DNA032997_S29-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17112714.0	0.0	20-47	35.0	25.436185474566113	42.10748739212261	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
DNA032998_S30-subsamp18M-s18_R1_001_val_1	DNA032998_S30-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17351122.0	0.0	20-47	34.0	23.517381208386272	41.572620145256316	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
DNA032998_S30-subsamp18M-s18_R2_001_val_2	DNA032998_S30-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17351122.0	0.0	20-47	35.0	24.94020019801615	42.72260727577156	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	cfDNA000057_S15-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16500718.0	0.0	20-47	35.0	27.377795745506013	40.01238358233866	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000057_S15-subsamp18M-s18_R2_001_val_2	cfDNA000057_S15-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16500718.0	0.0	20-47	36.0	28.58829935333024	41.28803752660945	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	cfDNA000058_S1-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16134262.0	0.0	20-47	35.0	27.692194756594578	39.5401730181399	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000058_S1-subsamp18M-s18_R2_001_val_2	cfDNA000058_S1-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16134262.0	0.0	20-47	36.0	28.864557335572172	40.83524204577811	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	cfDNA000059_S1-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16302922.0	0.0	20-47	35.0	29.97645614372752	39.663188782967865	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000059_S1-subsamp18M-s18_R2_001_val_2	cfDNA000059_S1-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16302922.0	0.0	20-47	36.0	32.581901381561956	40.94173627279822	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	cfDNA000060_S2-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16431833.0	0.0	20-47	35.0	26.530004427769605	39.84603409735238	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000060_S2-subsamp18M-s18_R2_001_val_2	cfDNA000060_S2-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16431833.0	0.0	20-47	36.0	27.540846798909197	41.111991887940924	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	cfDNA000061_S16-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16108199.0	0.0	20-47	35.0	26.612374429371144	40.041682561781116	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000061_S16-subsamp18M-s18_R2_001_val_2	cfDNA000061_S16-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16108199.0	0.0	20-47	36.0	28.25709545656992	41.29125794882469	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	cfDNA000062_S2-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16085829.0	0.0	20-47	34.0	25.969095715333506	40.00681413435391	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000062_S2-subsamp18M-s18_R2_001_val_2	cfDNA000062_S2-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16085829.0	0.0	20-47	36.0	27.265697211630567	41.259367670761634	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	cfDNA000063_S3-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15669547.0	0.0	20-47	34.0	29.895490432595416	39.822743695143195	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000063_S3-subsamp18M-s18_R2_001_val_2	cfDNA000063_S3-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15669547.0	0.0	20-47	36.0	31.16242708721682	41.10941005505775	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	cfDNA000064_S17-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16260755.0	0.0	20-47	35.0	26.47658515817509	40.413638542613796	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000064_S17-subsamp18M-s18_R2_001_val_2	cfDNA000064_S17-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16260755.0	0.0	20-47	36.0	27.881092569719147	41.615761260777866	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	cfDNA000065_S18-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16582187.0	0.0	20-47	34.0	27.515862004504715	40.74600485448632	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000065_S18-subsamp18M-s18_R2_001_val_2	cfDNA000065_S18-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16582187.0	0.0	20-47	35.0	29.345509431409926	41.92036122858824	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	cfDNA000066_S3-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16463927.0	0.0	20-47	33.0	22.37895406747694	41.56455741087773	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000066_S3-subsamp18M-s18_R2_001_val_2	cfDNA000066_S3-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16463927.0	0.0	20-47	34.0	23.78293808601232	42.734972282129284	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	cfDNA000067_S19-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16185352.0	0.0	20-47	33.0	28.960945161391933	40.65616336302108	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000067_S19-subsamp18M-s18_R2_001_val_2	cfDNA000067_S19-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16185352.0	0.0	20-47	35.0	31.06467235609507	41.891736182197334	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	cfDNA000068_S4-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16266038.0	0.0	20-47	33.0	27.56228171286898	40.7626864021835	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000068_S4-subsamp18M-s18_R2_001_val_2	cfDNA000068_S4-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16266038.0	0.0	20-47	35.0	29.090297734519925	41.995022512550385	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000069_S5-subsamp18M-s18_R1_001_val_1	cfDNA000069_S5-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17007276.0	0.0	20-47	34.0	25.897508561676574	41.86627693935231	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000069_S5-subsamp18M-s18_R2_001_val_2	cfDNA000069_S5-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17007276.0	0.0	20-47	35.0	28.267451058358812	42.9483732139115	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000071_S6-subsamp18M-s18_R1_001_val_1	cfDNA000071_S6-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16357248.0	0.0	20-47	33.0	29.332739532143908	40.77731309080843	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000071_S6-subsamp18M-s18_R2_001_val_2	cfDNA000071_S6-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16357248.0	0.0	20-47	34.0	31.198417888780344	41.99480248755781	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000072_S4-subsamp18M-s18_R1_001_val_1	cfDNA000072_S4-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17248096.0	0.0	20-47	35.0	21.652609744152322	40.681929935918724	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000072_S4-subsamp18M-s18_R2_001_val_2	cfDNA000072_S4-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17248096.0	0.0	20-47	36.0	22.44829142035771	41.94547137260832	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	cfDNA000073_S5-subsamp18M-s18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16661029.0	0.0	20-47	35.0	24.41100269678766	40.22424809416033	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
cfDNA000073_S5-subsamp18M-s18_R2_001_val_2	cfDNA000073_S5-subsamp18M-s18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16661029.0	0.0	20-47	36.0	25.433110374070893	41.51529062220587	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
