Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Picard_mqc-generalstats-picard-FOLD_ENRICHMENT	Picard_mqc-generalstats-picard-PCT_TARGET_BASES_30X	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-C_coverage	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DNA027585_S11-subsamp18M-s18_R1_001	15.451465077877154																	
DNA027585_S11-subsamp18M-s18_R1_001_val_1		45.033337	0.0	0.901806	38.1	0.5	0.4	30607066.0	0.385	85.32	1236758.0	9066396.0	53.89161802604803	77.76322480850642	35.0	39.32092733045211	18.181818181818183	16823388.0
DNA027585_S11-subsamp18M-s18_R2_001	15.333391459124845																	
DNA027585_S11-subsamp18M-s18_R2_001_val_2														76.8683002658863	37.0	40.65386692621011	18.181818181818183	16823388.0
DNA027586_S12-subsamp18M-s18_R1_001	12.38224946717236																	
DNA027586_S12-subsamp18M-s18_R1_001_val_1		43.717767	0.0	0.902353	39.3	0.4	0.4	121643026.0	0.344	84.83	1127283.0	8432515.0	49.04518086952284	80.89220277268527	33.0	40.50769439436536	36.36363636363637	17193361.0
DNA027586_S12-subsamp18M-s18_R2_001	12.24403237826284																	
DNA027586_S12-subsamp18M-s18_R2_001_val_2														79.71060723167473	34.0	41.784925762915115	27.27272727272727	17193361.0
DNA032997_S29-subsamp18M-s18_R1_001	11.99030419770689																	
DNA032997_S29-subsamp18M-s18_R1_001_val_1		43.507982	0.0	0.898159	40.9	0.8	0.8	167718270.0	0.429	83.43	1541078.0	10130690.0	59.199785609693464	76.02532214114218	34.0	40.90236995721427	18.181818181818183	17112714.0
DNA032997_S29-subsamp18M-s18_R2_001	11.919673892703589																	
DNA032997_S29-subsamp18M-s18_R2_001_val_2														74.56381452543388	35.0	42.10748739212261	18.181818181818183	17112714.0
DNA032998_S30-subsamp18M-s18_R1_001	10.153803525487309																	
DNA032998_S30-subsamp18M-s18_R1_001_val_1		43.131856	0.0	0.905701	43.1	0.9	0.8	185505044.0	0.459	84.17	1574957.0	10767811.0	62.0582980166931	76.48261879161373	34.0	41.572620145256316	18.181818181818183	17351122.0
DNA032998_S30-subsamp18M-s18_R2_001	10.09437692331418																	
DNA032998_S30-subsamp18M-s18_R2_001_val_2														75.05979980198384	35.0	42.72260727577156	18.181818181818183	17351122.0
cfDNA000057_S15-subsamp18M-s18_R1_001	15.358318398291008																	
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1		44.19188	1e-06	0.880146	36.1	0.8	0.7	137785618.0	0.375	82.11	1430791.0	8717557.0	52.831379822381066	72.622204254494	35.0	40.01238358233866	18.181818181818183	16500718.0
cfDNA000057_S15-subsamp18M-s18_R2_001	14.87013916419661																	
cfDNA000057_S15-subsamp18M-s18_R2_001_val_2														71.41170064666976	36.0	41.28803752660945	18.181818181818183	16500718.0
cfDNA000058_S1-subsamp18M-s18_R1_001	17.29845265043093																	
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1		44.51562	1e-06	0.88003	38.5	1.0	0.9	33564605.0	0.354	82.47	1359782.0	8319207.0	51.56236461264854	72.30780524340543	35.0	39.5401730181399	18.181818181818183	16134262.0
cfDNA000058_S1-subsamp18M-s18_R2_001	16.51829997348981																	
cfDNA000058_S1-subsamp18M-s18_R2_001_val_2														71.13544266442783	36.0	40.83524204577811	18.181818181818183	16134262.0
cfDNA000059_S1-subsamp18M-s18_R1_001	16.585374747868727																	
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1		44.102453	0.0	0.870217	39.2	1.1	1.0	36452622.0	0.362	81.3	1468710.0	8400703.0	51.52881796281673	70.02354385627248	35.0	39.663188782967865	18.181818181818183	16302922.0
cfDNA000059_S1-subsamp18M-s18_R2_001	15.920961560383729																	
cfDNA000059_S1-subsamp18M-s18_R2_001_val_2														67.41809861843805	36.0	40.94173627279822	18.181818181818183	16302922.0
cfDNA000060_S2-subsamp18M-s18_R1_001	15.838518111010888																	
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1		44.088464	1e-06	0.879189	39.6	0.8	0.8	36136264.0	0.370	81.93	1449179.0	8647399.0	52.62589389753414	73.4699955722304	35.0	39.84603409735238	18.181818181818183	16431833.0
cfDNA000060_S2-subsamp18M-s18_R2_001	15.415592517075174																	
cfDNA000060_S2-subsamp18M-s18_R2_001_val_2														72.4591532010908	36.0	41.111991887940924	18.181818181818183	16431833.0
cfDNA000061_S16-subsamp18M-s18_R1_001	17.24242863178892																	
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1		43.964197	0.0	0.880705	39.9	0.9	0.8	36003201.0	0.375	81.97	1447789.0	8780072.0	54.50685082795413	73.38762557062886	35.0	40.041682561781116	18.181818181818183	16108199.0
cfDNA000061_S16-subsamp18M-s18_R2_001	15.380515106587989																	
cfDNA000061_S16-subsamp18M-s18_R2_001_val_2														71.74290454343009	36.0	41.29125794882469	18.181818181818183	16108199.0
cfDNA000062_S2-subsamp18M-s18_R1_001	17.09318772872513																	
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1		44.22931	0.0	0.88497	38.3	0.8	0.7	31734019.0	0.349	83.19	1280756.0	8167770.0	50.77618318583394	74.03090428466649	34.0	40.00681413435391	18.181818181818183	16085829.0
cfDNA000062_S2-subsamp18M-s18_R2_001	15.279469799722282																	
cfDNA000062_S2-subsamp18M-s18_R2_001_val_2														72.73430278836943	36.0	41.259367670761634	18.181818181818183	16085829.0
cfDNA000063_S3-subsamp18M-s18_R1_001	19.38980602157492																	
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1		43.17547	0.0	0.86089	40.2	1.0	1.0	33315732.0	0.312	80.31	1378776.0	7474269.0	47.69933042735696	70.10450956740459	34.0	39.822743695143195	18.181818181818183	15669547.0
cfDNA000063_S3-subsamp18M-s18_R2_001	15.318715516253603																	
cfDNA000063_S3-subsamp18M-s18_R2_001_val_2														68.83757291278317	36.0	41.10941005505775	27.27272727272727	15669547.0
cfDNA000064_S17-subsamp18M-s18_R1_001	15.708164520174222																	
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1		43.563243	0.0	0.881127	35.9	0.8	0.7	153623565.0	0.402	81.53	1560960.0	9183296.0	56.47521286680723	73.52341484182492	35.0	40.413638542613796	18.181818181818183	16260755.0
cfDNA000064_S17-subsamp18M-s18_R2_001	14.492730881527862																	
cfDNA000064_S17-subsamp18M-s18_R2_001_val_2														72.11890743028086	36.0	41.615761260777866	18.181818181818183	16260755.0
cfDNA000065_S18-subsamp18M-s18_R1_001	13.951995037461383																	
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1		42.56783	0.0	0.872214	41.9	0.8	0.7	41262148.0	0.396	80.29	1654769.0	9200433.0	55.48383334478137	72.48413799549529	34.0	40.74600485448632	18.181818181818183	16582187.0
cfDNA000065_S18-subsamp18M-s18_R2_001	13.541812449472099																	
cfDNA000065_S18-subsamp18M-s18_R2_001_val_2														70.65449056859008	35.0	41.92036122858824	18.181818181818183	16582187.0
cfDNA000066_S3-subsamp18M-s18_R1_001	13.934953257549084																	
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1		42.924346	0.0	0.888557	41.3	0.9	0.8	29480832.0	0.325	83.37	1209992.0	7972868.0	48.4262837171229	77.62104593252306	33.0	41.56455741087773	18.181818181818183	16463927.0
cfDNA000066_S3-subsamp18M-s18_R2_001	11.09586814331264																	
cfDNA000066_S3-subsamp18M-s18_R2_001_val_2														76.21706191398768	34.0	42.734972282129284	18.181818181818183	16463927.0
