Sample	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
DNA027585_S11-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16844068.0	16844068.0	1780534.0	1.0	0.105707	1780534.0	1.0	688601537.0	74154114.0	637777094.0	14438698.0	36385745.0	37152308.0	0.94716	0.05284	0.977862	9.997414	0.582377	1.0	25.0	0.926085	0.053947	45.033337	0.348277	0.892312	0.010039	0.00032	0.022775	0.020601	?	0.512021	0.058952	2e-06	1e-06	0.0	0.0	0.0	0.0	652613.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.412489	6.777063	0.263352	1.0			
DNA027586_S12-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	14864694.0	14864694.0	1646826.0	1.0	0.110788	1646826.0	1.0	617905154.0	69588587.0	555579984.0	16043699.0	46281471.0	33253569.0	0.925099	0.074901	0.971933	8.708941	0.521263	0.0	13.0	0.899031	0.05381	43.717767	0.398977	0.88738	0.010173	0.000298	0.024306	0.024027	?	0.46276	0.049743	3e-06	0.0	0.0	0.0	0.0	0.0	589956.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.408822	7.187445	0.237699	1.0			
DNA032997_S29-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	18605912.0	18605912.0	2063448.0	1.0	0.110903	2063448.0	1.0	788773019.0	90271138.0	705809964.0	30086888.0	52876167.0	42592906.0	0.932964	0.067036	0.959115	11.063856	0.667661	1.0	17.0	0.894707	0.053992	43.507982	0.269342	0.885555	0.008613	0.000571	0.015626	0.035636	?	0.600996	0.056934	2e-06	0.0	0.0	0.0	0.0	0.0	757036.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.45485	3.504315	0.306135	2.0			
DNA032998_S30-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	19896506.0	19896506.0	2030794.0	1.0	0.102068	2030794.0	1.0	854561679.0	90310144.0	758068344.0	37446069.0	59047266.0	43035215.0	0.930903	0.069097	0.952928	11.883028	0.674594	1.0	9.0	0.886982	0.050354	43.131856	0.261037	0.89432	0.007678	0.000482	0.012553	0.034608	?	0.608784	0.056441	0.0	0.0	0.0	0.0	0.0	0.0	756557.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.318256	3.202936	0.310323	2.0			
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15997326.0	15997326.0	2089666.0	1.0	0.130626	2089666.0	1.0	664341576.0	88819969.0	603810577.0	18624545.0	41906454.0	42031697.0	0.93692	0.06308	0.970078	9.464975	0.658864	1.0	41.0	0.908776	0.063261	44.19188	0.307123	0.866304	0.01136	0.000566	0.025283	0.033219	?	0.555743	0.087247	5e-06	2e-06	1e-06	0.0	0.0	0.0	758122.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.68135	5.789339	0.290525	1.0			
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15518074.0	15518074.0	1996118.0	1.0	0.128632	1996118.0	1.0	638049261.0	83853246.0	584162186.0	14763388.0	39123687.0	39812846.0	0.938682	0.061318	0.97535	9.156978	0.624082	1.0	35.0	0.915436	0.06239	44.51562	0.328711	0.868579	0.011798	0.000428	0.026747	0.030051	?	0.534263	0.076611	3e-06	2e-06	1e-06	0.0	0.0	0.0	714228.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.576701	5.958196	0.278163	1.0			
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15712316.0	15712316.0	2180542.0	1.0	0.138779	2180542.0	1.0	650424967.0	92522834.0	589965689.0	17659660.0	42799618.0	41944789.0	0.934197	0.065803	0.970937	9.247951	0.657502	1.0	31.0	0.906935	0.06448	44.102453	0.313952	0.85775	0.012317	0.000753	0.027442	0.03725	?	0.553617	0.08836	2e-06	2e-06	0.0	0.0	0.0	0.0	770043.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.575125	5.637407	0.288508	1.0			
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16036324.0	16036324.0	2089408.0	1.0	0.130292	2089408.0	1.0	664076312.0	89065613.0	602157030.0	19705869.0	42213413.0	42092667.0	0.936433	0.063567	0.968312	9.439055	0.65982	1.0	41.0	0.906648	0.063378	44.088464	0.296512	0.86588	0.010857	0.000504	0.023991	0.035383	?	0.568594	0.077927	3e-06	1e-06	1e-06	0.0	0.0	0.0	757199.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.046912	5.44265	0.29469	2.0			
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	16063258.0	16063258.0	2094834.0	1.0	0.130412	2094834.0	1.0	668477135.0	89370339.0	604439038.0	19678521.0	44359576.0	41846926.0	0.933641	0.066359	0.96847	9.474826	0.655967	1.0	25.0	0.904091	0.062593	43.964197	0.299902	0.866308	0.011223	0.000574	0.023532	0.035763	?	0.567824	0.075746	3e-06	1e-06	0.0	0.0	0.0	0.0	752569.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.625426	4.90628	0.294088	2.0			
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	RRBS_regions20-200	3101804739.0	63794209.0	63794209.0	1.0	15235098.0	15235098.0	1879080.0	1.0	0.123339	1879080.0	1.0	631119824.0	78885734.0	574101636.0	15291352.0	41726836.0	37257998.0	0.933884	0.066116	0.974056	8.999275	0.584034	1.0	28.0	0.909541	0.059027	44.22931	0.355629	0.875007	0.01165	0.000465	0.026125	0.027718	?	0.506588	0.066211	2e-06	1e-06	0.0	0.0	0.0	0.0	671239.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.089171	6.320902	0.262043	1.0			
