Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
DNA027585_S11-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9066396.0	0.0	0.0	0.0	8176129.0	644362.0	0.901806	890336.0
DNA027586_S12-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8432515.0	0.0	0.0	0.0	7609102.0	1000168.0	0.902353	823512.0
DNA032997_S29-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10130690.0	0.0	0.0	0.0	9098966.0	827734.0	0.898159	1031849.0
DNA032998_S30-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	10767811.0	0.0	0.0	0.0	9752414.0	819558.0	0.905701	1015453.0
cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8717557.0	0.0	0.0	0.0	7672724.0	718894.0	0.880146	1045329.0
cfDNA000058_S1-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8319207.0	0.0	0.0	0.0	7321148.0	560170.0	0.88003	998480.0
cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8400703.0	0.0	0.0	0.0	7310432.0	544545.0	0.870217	1091085.0
cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8647399.0	0.0	0.0	0.0	7602695.0	629237.0	0.879189	1045190.0
cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8780072.0	0.0	0.0	0.0	7732655.0	748443.0	0.880705	1047908.0
cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	8167770.0	0.0	0.0	0.0	7228230.0	550221.0	0.88497	939823.0
cfDNA000063_S3-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	7474269.0	0.0	0.0	0.0	6434527.0	473540.0	0.86089	1040991.0
cfDNA000064_S17-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9183296.0	0.0	0.0	0.0	8091646.0	733447.0	0.881127	1092126.0
cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	9200433.0	0.0	0.0	0.0	8024746.0	805220.0	0.872214	1176624.0
cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	7972868.0	0.0	0.0	0.0	7084344.0	697394.0	0.888557	888771.0
cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	7626633.0	0.0	0.0	0.0	6519685.0	700203.0	0.854858	1109099.0
cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	Unknown Library	0.0	7939618.0	0.0	0.0	0.0	6907983.0	531582.0	0.870065	1032425.0
