Module	Section	Sample Name	Source
Picard	HsMetrics	DNA032998_S30-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/dualindex/DNA032998_S30-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	DNA032997_S29-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/dualindex/DNA032997_S29-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000078_S7-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000078_S7-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000092_S13-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000092_S13-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000082_S9-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000082_S9-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	DNA027586_S12-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/DNA027586_S12-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000096_S15-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000096_S15-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000065_S18-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000065_S18-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000097_S27-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000097_S27-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000077_S21-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000077_S21-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000091_S13-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000091_S13-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000098_S15-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000098_S15-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000067_S19-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000067_S19-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000089_S25-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000089_S25-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000076_S7-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000076_S7-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000062_S2-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000062_S2-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000086_S24-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000086_S24-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000088_S11-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000088_S11-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000060_S2-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000060_S2-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000095_S14-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000095_S14-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000068_S4-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000068_S4-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000075_S20-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000075_S20-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000066_S3-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000066_S3-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000085_S10-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000085_S10-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000073_S5-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000073_S5-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000079_S8-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000079_S8-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	DNA027585_S11-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/DNA027585_S11-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000094_S14-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000094_S14-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000057_S15-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000057_S15-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000059_S1-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000059_S1-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000099_S28-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000099_S28-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000061_S16-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000061_S16-subsamp18M-s18_hs_metrics.txt
Picard	HsMetrics	cfDNA000081_S9-subsamp18M-s18_R1_001_val_1	/kyukon/data/gent/vo/000/gvo00027/vsc42220/RVP1808_TubeStudy/subsampled_reads_PE/singleindex/cfDNA000081_S9-subsamp18M-s18_hs_metrics.txt
