,DNA027585_S11-subsamp18M-s18,DNA027586_S12-subsamp18M-s18,DNA032997_S29-subsamp18M-s18,DNA032998_S30-subsamp18M-s18,cfDNA000057_S15-subsamp18M-s18,cfDNA000058_S1-subsamp18M-s18,cfDNA000059_S1-subsamp18M-s18,cfDNA000060_S2-subsamp18M-s18,cfDNA000061_S16-subsamp18M-s18,cfDNA000062_S2-subsamp18M-s18,cfDNA000063_S3-subsamp18M-s18,cfDNA000064_S17-subsamp18M-s18,cfDNA000065_S18-subsamp18M-s18,cfDNA000066_S3-subsamp18M-s18,cfDNA000067_S19-subsamp18M-s18,cfDNA000068_S4-subsamp18M-s18,cfDNA000069_S5-subsamp18M-s18,cfDNA000071_S6-subsamp18M-s18,cfDNA000072_S4-subsamp18M-s18,cfDNA000073_S5-subsamp18M-s18,cfDNA000074_S6-subsamp18M-s18,cfDNA000075_S20-subsamp18M-s18,cfDNA000076_S7-subsamp18M-s18,cfDNA000077_S21-subsamp18M-s18,cfDNA000078_S7-subsamp18M-s18,cfDNA000079_S8-subsamp18M-s18,cfDNA000080_S8-subsamp18M-s18,cfDNA000081_S9-subsamp18M-s18,cfDNA000082_S9-subsamp18M-s18,cfDNA000083_S22-subsamp18M-s18,cfDNA000085_S10-subsamp18M-s18,cfDNA000086_S24-subsamp18M-s18,cfDNA000087_S10-subsamp18M-s18,cfDNA000088_S11-subsamp18M-s18,cfDNA000089_S25-subsamp18M-s18,cfDNA000090_S12-subsamp18M-s18,cfDNA000091_S13-subsamp18M-s18,cfDNA000092_S13-subsamp18M-s18,cfDNA000093_S26-subsamp18M-s18,cfDNA000094_S14-subsamp18M-s18,cfDNA000095_S14-subsamp18M-s18,cfDNA000096_S15-subsamp18M-s18,cfDNA000097_S27-subsamp18M-s18,cfDNA000098_S15-subsamp18M-s18,cfDNA000099_S28-subsamp18M-s18
Adipocytes,0.024,0.023,0.006,0.000,0.029,0.026,0.038,0.022,0.017,0.036,0.043,0.020,0.015,0.021,0.037,0.031,0.000,0.015,0.041,0.054,0.045,0.012,0.043,0.051,0.027,0.020,0.013,0.051,0.074,0.038,0.000,0.028,0.018,0.034,0.024,0.012,0.026,0.036,0.018,0.012,0.005,0.032,0.042,0.017,0.000
B-cells_EPIC,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.041,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bladder,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CD4T-cells_EPIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000
CD8T-cells_EPIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colon_epithelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cortical_neurons,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Erythrocyte_progenitors,0.394,0.332,0.202,0.355,0.436,0.395,0.456,0.396,0.366,0.453,0.465,0.318,0.412,0.387,0.411,0.402,0.236,0.390,0.477,0.468,0.490,0.188,0.476,0.448,0.454,0.383,0.280,0.314,0.438,0.317,0.358,0.378,0.257,0.298,0.275,0.288,0.317,0.249,0.270,0.315,0.232,0.284,0.288,0.294,0.261
Head_and_neck_larynx,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hepatocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kidney,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Left_atrium,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lung_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Monocytes_EPIC,0.141,0.000,0.208,0.078,0.129,0.160,0.098,0.180,0.150,0.180,0.000,0.246,0.222,0.189,0.240,0.213,0.292,0.051,0.216,0.160,0.138,0.166,0.083,0.262,0.199,0.128,0.187,0.356,0.073,0.162,0.165,0.217,0.208,0.182,0.158,0.143,0.101,0.180,0.217,0.091,0.250,0.179,0.195,0.156,0.091
NK-cells_EPIC,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.052,0.000,0.060,0.019,0.000,0.072,0.006,0.046,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.044,0.022,0.000,0.000,0.000,0.570
Neutrophils_EPIC,0.441,0.645,0.583,0.131,0.406,0.419,0.408,0.401,0.467,0.330,0.492,0.416,0.350,0.404,0.312,0.354,0.077,0.544,0.266,0.318,0.328,0.634,0.369,0.239,0.269,0.469,0.459,0.261,0.319,0.293,0.456,0.330,0.517,0.485,0.544,0.538,0.557,0.535,0.496,0.515,0.491,0.505,0.476,0.533,0.078
Pancreatic_acinar_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_beta_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_duct_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Prostate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Thyroid,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Upper_GI,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uterus_cervix,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vascular_endothelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
