Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	0	0	0	0	0
1.00067	0	1.00067	0	1.00067	0
2.00133	0	2.00133	0	2.00133	0
3.002	0	3.002	1	3.002	0
4.00267	0	4.00267	1	4.00267	0
5.00334	0	5.00334	1	5.00334	0
6.004	0	6.004	0	6.004	0
7.00467	0	7.00467	0	7.00467	0
8.00534	1	8.00534	0	8.00534	0
9.006	0	9.006	0	9.006	0
10.0067	0	10.0067	0	10.0067	0
11.0073	0	11.0073	1	11.0073	0
12.008	1	12.008	2	12.008	1
13.0087	2	13.0087	3	13.0087	3
14.0093	2	14.0093	4	14.0093	4
15.01	2	15.01	4	15.01	4
16.0107	3	16.0107	3	16.0107	4
17.0113	5	17.0113	2	17.0113	3
18.012	7	18.012	3	18.012	3
19.0127	8	19.0127	4	19.0127	2
20.0133	7	20.0133	4	20.0133	2
21.014	5	21.014	3	21.014	2
22.0147	5	22.0147	1	22.0147	3
23.0153	5	23.0153	0	23.0153	3
24.016	6	24.016	0	24.016	3
25.0167	5	25.0167	0	25.0167	2
26.0173	5	26.0173	2	26.0173	2
27.018	4	27.018	3	27.018	3
28.0187	3	28.0187	4	28.0187	4
29.0193	3	29.0193	5	29.0193	3
30.02	5	30.02	5	30.02	3
31.0207	7	31.0207	4	31.0207	3
32.0213	8	32.0213	4	32.0213	4
33.022	8	33.022	4	33.022	5
34.0227	8	34.0227	4	34.0227	5
35.0233	9	35.0233	5	35.0233	5
36.024	10	36.024	4	36.024	3
37.0247	10	37.0247	4	37.0247	1
38.0254	10	38.0254	3	38.0254	0
39.026	10	39.026	3	39.026	0
40.0267	10	40.0267	2	40.0267	1
41.0274	9	41.0274	2	41.0274	2
42.028	8	42.028	3	42.028	1
43.0287	6	43.0287	3	43.0287	0
44.0294	6	44.0294	3	44.0294	0
45.03	6	45.03	3	45.03	1
46.0307	6	46.0307	3	46.0307	3
47.0314	6	47.0314	3	47.0314	2
48.032	6	48.032	3	48.032	1
49.0327	7	49.0327	3	49.0327	0
50.0334	7	50.0334	3	50.0334	0
51.034	7	51.034	3	51.034	1
52.0347	8	52.0347	3	52.0347	1
53.0354	7	53.0354	4	53.0354	2
54.036	6	54.036	4	54.036	3
