Time (HH:MM:SS) - Plot 0	RFU - Plot 0
0	0
1.00067	0
2.00133	0
3.002	0
4.00267	0
5.00334	0
6.004	0
7.00467	0
8.00534	1
9.006	1
10.0067	0
11.0073	0
12.008	0
13.0087	1
14.0093	1
15.01	1
16.0107	2
17.0113	2
18.012	2
19.0127	2
20.0133	2
21.014	2
22.0147	2
23.0153	3
24.016	3
25.0167	2
26.0173	2
27.018	2
28.0187	1
29.0193	1
30.02	0
31.0207	0
32.0213	1
33.022	2
34.0227	2
35.0233	2
36.024	2
37.0247	3
38.0254	3
39.026	3
40.0267	3
41.0274	3
42.028	2
43.0287	1
44.0294	0
45.03	0
46.0307	1
47.0314	1
48.032	2
49.0327	2
50.0334	1
51.034	1
52.0347	2
53.0354	2
54.036	2
55.0367	1
56.0374	1
57.038	0
58.0387	0
59.0394	0
60.04	1
61.0407	1
62.0414	2
63.042	3
64.0427	3
65.0434	4
66.044	3
67.0447	3
68.0454	3
69.046	2
70.0467	2
71.0474	2
72.048	2
73.0487	2
74.0494	1
75.05	1
76.0507	1
77.0514	1
78.052	1
79.0527	1
80.0534	1
81.054	0
82.0547	0
83.0554	0
84.056	1
85.0567	1
86.0574	1
87.058	2
88.0587	2
89.0594	2
90.06	2
91.0607	2
92.0614	1
93.062	1
94.0627	0
95.0634	0
96.064	1
97.0647	1
98.0654	1
99.066	1
100.067	0
101.067	0
102.068	0
103.069	0
104.069	0
105.07	0
106.071	1
107.071	1
108.072	1
109.073	1
110.073	1
111.074	2
112.075	2
113.075	3
114.076	2
115.077	2
116.077	1
117.078	1
118.079	1
119.079	2
120.08	2
121.081	1
122.081	1
123.082	0
124.083	0
125.083	0
126.084	0
127.085	0
128.085	0
129.086	0
130.087	1
131.087	2
132.088	2
133.089	2
134.089	2
135.09	2
136.091	2
137.091	1
138.092	1
139.093	2
140.093	2
141.094	2
142.095	2
143.095	2
144.096	1
145.097	0
146.097	0
147.098	0
148.099	0
149.099	0
150.1	0
151.101	0
152.101	0
153.102	0
154.103	0
155.103	0
156.104	0
157.105	0
158.105	0
159.106	0
160.107	0
161.107	1
162.108	2
163.109	2
164.109	2
165.11	1
166.111	1
167.111	2
168.112	2
169.113	3
170.113	3
171.114	2
172.115	2
173.115	1
174.116	0
175.117	0
176.117	0
177.118	0
178.119	0
179.119	1
180.12	1
181.121	2
182.121	2
183.122	2
184.123	2
185.123	2
186.124	2
187.125	1
188.125	1
189.126	1
190.127	1
191.127	1
192.128	1
193.129	2
194.129	2
195.13	3
196.131	3
197.131	2
198.132	2
199.133	1
200.133	1
201.134	1
202.135	1
203.135	1
204.136	0
205.137	0
206.137	0
207.138	1
208.139	1
209.139	1
210.14	1
211.141	2
212.141	2
213.142	2
214.143	2
215.143	3
216.144	3
217.145	2
218.145	2
219.146	2
220.147	2
221.147	2
222.148	2
223.149	2
224.149	2
225.15	1
226.151	1
227.151	2
228.152	2
229.153	3
230.153	3
231.154	3
232.155	2
233.155	2
234.156	1
235.157	1
236.157	0
237.158	0
238.159	0
239.159	0
240.16	0
241.161	0
242.161	0
243.162	1
244.163	1
245.163	1
246.164	0
247.165	0
248.165	1
249.166	2
250.167	2
251.167	1
252.168	1
253.169	0
254.169	0
255.17	0
256.171	0
257.171	0
258.172	0
259.173	0
260.173	0
261.174	0
262.175	0
263.175	0
264.176	0
265.177	0
266.177	0
267.178	1
268.179	2
269.179	2
270.18	2
271.181	2
272.181	1
273.182	1
274.183	1
275.183	1
276.184	0
277.185	0
278.185	1
279.186	2
280.187	2
281.187	1
282.188	1
283.189	1
284.189	1
285.19	2
286.191	3
287.191	4
