Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	1	0	0	0	0
1.00067	1	1.00067	0	1.00067	0
2.00133	1	2.00133	0	2.00133	0
3.002	1	3.002	0	3.002	0
4.00267	1	4.00267	0	4.00267	0
5.00334	3	5.00334	0	5.00334	0
6.004	3	6.004	0	6.004	0
7.00467	2	7.00467	0	7.00467	0
8.00534	2	8.00534	0	8.00534	0
9.006	2	9.006	0	9.006	0
10.0067	2	10.0067	0	10.0067	0
11.0073	3	11.0073	0	11.0073	0
12.008	2	12.008	3	12.008	3
13.0087	2	13.0087	4	13.0087	2
14.0093	2	14.0093	4	14.0093	2
15.01	2	15.01	2	15.01	1
16.0107	2	16.0107	1	16.0107	2
17.0113	2	17.0113	2	17.0113	2
18.012	3	18.012	4	18.012	3
19.0127	4	19.0127	6	19.0127	4
20.0133	3	20.0133	8	20.0133	4
21.014	2	21.014	7	21.014	4
22.0147	2	22.0147	6	22.0147	3
23.0153	1	23.0153	5	23.0153	2
24.016	2	24.016	5	24.016	2
25.0167	3	25.0167	5	25.0167	3
26.0173	3	26.0173	7	26.0173	3
27.018	3	27.018	9	27.018	3
28.0187	2	28.0187	9	28.0187	3
29.0193	1	29.0193	9	29.0193	3
30.02	1	30.02	8	30.02	4
31.0207	2	31.0207	8	31.0207	4
32.0213	2	32.0213	7	32.0213	3
33.022	1	33.022	7	33.022	1
34.0227	1	34.0227	7	34.0227	1
35.0233	2	35.0233	9	35.0233	1
36.024	2	36.024	10	36.024	2
37.0247	2	37.0247	12	37.0247	2
38.0254	1	38.0254	12	38.0254	2
39.026	1	39.026	11	39.026	2
40.0267	0	40.0267	10	40.0267	1
41.0274	0	41.0274	9	41.0274	0
42.028	0	42.028	8	42.028	0
43.0287	0	43.0287	8	43.0287	1
44.0294	0	44.0294	9	44.0294	1
45.03	1	45.03	9	45.03	1
46.0307	2	46.0307	10	46.0307	1
47.0314	4	47.0314	11	47.0314	0
48.032	4	48.032	10	48.032	0
49.0327	3	49.0327	10	49.0327	0
50.0334	3	50.0334	10	50.0334	0
51.034	3	51.034	11	51.034	0
52.0347	4	52.0347	12	52.0347	0
53.0354	4	53.0354	12	53.0354	0
54.036	3	54.036	10	54.036	0
55.0367	2	55.0367	7	55.0367	0
56.0374	2	56.0374	5	56.0374	0
57.038	2	57.038	4	57.038	0
58.0387	2	58.0387	4	58.0387	0
59.0394	2	59.0394	5	59.0394	0
60.04	1	60.04	6	60.04	0
61.0407	1	61.0407	6	61.0407	0
62.0414	2	62.0414	7	62.0414	0
63.042	3	63.042	7	63.042	0
64.0427	4	64.0427	7	64.0427	0
65.0434	5	65.0434	7	65.0434	-1
66.044	5	66.044	6	66.044	-1
67.0447	3	67.0447	5	67.0447	-1
68.0454	2	68.0454	4	68.0454	-1
69.046	2	69.046	4	69.046	-1
70.0467	2	70.0467	5	70.0467	-1
71.0474	2	71.0474	5	71.0474	-1
72.048	1	72.048	6	72.048	-1
73.0487	1	73.0487	6	73.0487	-1
74.0494	1	74.0494	6	74.0494	0
75.05	2	75.05	5	75.05	0
76.0507	2	76.0507	4	76.0507	-1
77.0514	1	77.0514	3	77.0514	-2
78.052	1	78.052	4	78.052	-2
79.0527	1	79.0527	5	79.0527	-2
80.0534	1	80.0534	5	80.0534	-1
81.054	1	81.054	4	81.054	-1
82.0547	2	82.0547	3	82.0547	0
83.0554	2	83.0554	3	83.0554	0
84.056	2	84.056	4	84.056	0
85.0567	2	85.0567	4	85.0567	-2
86.0574	2	86.0574	4	86.0574	-3
87.058	2	87.058	4	87.058	-4
88.0587	2	88.0587	2	88.0587	-3
89.0594	2	89.0594	1	89.0594	-2
90.06	2	90.06	0	90.06	-1
91.0607	2	91.0607	0	91.0607	-2
92.0614	2	92.0614	0	92.0614	-2
93.062	2	93.062	0	93.062	-2
94.0627	1	94.0627	0	94.0627	-2
95.0634	1	95.0634	0	95.0634	-1
96.064	1	96.064	0	96.064	-1
97.0647	1	97.0647	0	97.0647	-1
98.0654	2	98.0654	0	98.0654	-2
99.066	2	99.066	0	99.066	-2
100.067	2	100.067	0	100.067	-2
101.067	2	101.067	0	101.067	-2
102.068	3	102.068	0	102.068	-2
103.069	3	103.069	1	103.069	-2
104.069	3	104.069	1	104.069	-2
105.07	3	105.07	2	105.07	-3
106.071	3	106.071	1	106.071	-3
107.071	2	107.071	0	107.071	-4
108.072	1	108.072	0	108.072	-3
109.073	0	109.073	1	109.073	-3
110.073	0	110.073	2	110.073	-2
111.074	1	111.074	3	111.074	-2
112.075	2	112.075	4	112.075	-2
113.075	2	113.075	5	113.075	-2
114.076	2	114.076	5	114.076	-3
115.077	1	115.077	2	115.077	-4
116.077	1	116.077	0	116.077	-3
117.078	1	117.078	0	117.078	-2
118.079	1	118.079	2	118.079	-1
119.079	1	119.079	3	119.079	0
120.08	1	120.08	5	120.08	0
121.081	1	121.081	5	121.081	0
122.081	1	122.081	5	122.081	-1
123.082	1	123.082	5	123.082	-1
124.083	1	124.083	6	124.083	-1
125.083	1	125.083	7	125.083	0
126.084	1	126.084	7	126.084	0
127.085	1	127.085	5	127.085	0
128.085	1	128.085	3	128.085	0
129.086	1	129.086	2	129.086	0
130.087	1	130.087	3	130.087	0
131.087	1	131.087	3	131.087	0
132.088	0	132.088	3	132.088	0
133.089	0	133.089	1	133.089	0
134.089	0	134.089	0	134.089	0
135.09	0	135.09	0	135.09	0
136.091	0	136.091	0	136.091	0
137.091	0	137.091	0	137.091	0
138.092	0	138.092	0	138.092	0
139.093	0	139.093	0	139.093	0
140.093	-1	140.093	0	140.093	0
141.094	-1	141.094	0	141.094	0
142.095	-1	142.095	0	142.095	0
143.095	-1	143.095	0	143.095	0
144.096	0	144.096	0	144.096	0
145.097	0	145.097	0	145.097	0
146.097	0	146.097	1	146.097	1
147.098	0	147.098	2	147.098	2
148.099	0	148.099	3	148.099	2
149.099	-1	149.099	3	149.099	1
150.1	-1	150.1	3	150.1	1
151.101	-2	151.101	3	151.101	0
152.101	-3	152.101	3	152.101	0
153.102	-3	153.102	2	153.102	0
154.103	-2	154.103	1	154.103	0
155.103	-1	155.103	1	155.103	0
156.104	-1	156.104	1	156.104	1
157.105	0	157.105	0	157.105	1
158.105	0	158.105	0	158.105	1
159.106	0	159.106	2	159.106	2
160.107	-1	160.107	3	160.107	2
161.107	-1	161.107	3	161.107	2
162.108	-1	162.108	4	162.108	3
163.109	-1	163.109	4	163.109	2
164.109	0	164.109	4	164.109	1
165.11	0	165.11	4	165.11	1
166.111	0	166.111	3	166.111	0
167.111	0	167.111	3	167.111	1
168.112	0	168.112	3	168.112	1
169.113	0	169.113	3	169.113	2
170.113	0	170.113	3	170.113	1
171.114	0	171.114	3	171.114	0
172.115	0	172.115	2	172.115	0
173.115	0	173.115	1	173.115	0
174.116	0	174.116	1	174.116	0
175.117	1	175.117	2	175.117	0
176.117	1	176.117	3	176.117	0
177.118	1	177.118	3	177.118	0
178.119	2	178.119	3	178.119	0
179.119	2	179.119	4	179.119	0
180.12	2	180.12	5	180.12	0
181.121	1	181.121	5	181.121	-1
182.121	1	182.121	3	182.121	-2
183.122	1	183.122	2	183.122	-3
184.123	1	184.123	0	184.123	-3
185.123	2	185.123	0	185.123	-3
186.124	3	186.124	1	186.124	-3
187.125	3	187.125	4	187.125	-2
188.125	2	188.125	5	188.125	-1
189.126	1	189.126	4	189.126	-1
190.127	1	190.127	3	190.127	-1
191.127	2	191.127	3	191.127	-2
192.128	1	192.128	3	192.128	-2
193.129	1	193.129	3	193.129	-2
194.129	1	194.129	3	194.129	-2
195.13	1	195.13	3	195.13	-2
196.131	1	196.131	2	196.131	-1
197.131	1	197.131	1	197.131	-1
198.132	2	198.132	0	198.132	0
199.133	2	199.133	1	199.133	0
200.133	2	200.133	2	200.133	-1
201.134	3	201.134	4	201.134	-2
202.135	3	202.135	3	202.135	-3
203.135	3	203.135	3	203.135	-3
204.136	2	204.136	2	204.136	-1
205.137	2	205.137	0	205.137	0
206.137	1	206.137	0	206.137	0
207.138	1	207.138	0	207.138	0
208.139	1	208.139	0	208.139	0
209.139	1	209.139	0	209.139	0
210.14	1	210.14	0	210.14	0
211.141	0	211.141	0	211.141	0
212.141	0	212.141	-1	212.141	0
213.142	0	213.142	-2	213.142	0
214.143	0	214.143	-2	214.143	0
215.143	0	215.143	-2	215.143	1
216.144	0	216.144	-1	216.144	1
217.145	0	217.145	-1	217.145	1
218.145	0	218.145	-1	218.145	1
219.146	0	219.146	0	219.146	1
220.147	0	220.147	0	220.147	1
221.147	0	221.147	-2	221.147	1
222.148	0	222.148	-4	222.148	1
223.149	0	223.149	-6	223.149	1
224.149	0	224.149	-6	224.149	1
225.15	0	225.15	-6	225.15	0
226.151	0	226.151	-5	226.151	0
227.151	0	227.151	-6	227.151	0
228.152	0	228.152	-5	228.152	0
229.153	1	229.153	-4	229.153	0
230.153	2	230.153	-3	230.153	1
231.154	3	231.154	-2	231.154	1
232.155	3	232.155	-1	232.155	2
233.155	3	233.155	-1	233.155	2
234.156	2	234.156	-2	234.156	2
235.157	2	235.157	-3	235.157	2
236.157	2	236.157	-4	236.157	1
237.158	3	237.158	-4	237.158	1
238.159	3	238.159	-3	238.159	1
239.159	3	239.159	-2	239.159	1
240.16	3	240.16	-1	240.16	2
241.161	4	241.161	-2	241.161	2
242.161	4	242.161	-2	242.161	2
243.162	4	243.162	-2	243.162	2
244.163	3	244.163	-2	244.163	2
245.163	3	245.163	-3	245.163	2
246.164	2	246.164	-3	246.164	1
247.165	2	247.165	-2	247.165	0
248.165	2	248.165	-2	248.165	0
249.166	2	249.166	-3	249.166	0
250.167	2	250.167	-3	250.167	0
251.167	2	251.167	-4	251.167	0
252.168	3	252.168	-4	252.168	0
253.169	3	253.169	-3	253.169	0
254.169	2	254.169	-2	254.169	1
255.17	1	255.17	0	255.17	2
256.171	1	256.171	0	256.171	3
257.171	1	257.171	0	257.171	2
258.172	1	258.172	0	258.172	1
259.173	2	259.173	0	259.173	1
260.173	2	260.173	0	260.173	1
261.174	1	261.174	0	261.174	0
262.175	1	262.175	0	262.175	0
263.175	0	263.175	0	263.175	0
264.176	0	264.176	0	264.176	0
265.177	0	265.177	0	265.177	0
266.177	0	266.177	0	266.177	0
267.178	0	267.178	0	267.178	0
268.179	0	268.179	2	268.179	0
269.179	0	269.179	3	269.179	0
270.18	0	270.18	4	270.18	0
271.181	1	271.181	4	271.181	0
272.181	1	272.181	3	272.181	0
273.182	2	273.182	3	273.182	0
274.183	3	274.183	4	274.183	0
275.183	3	275.183	5	275.183	0
276.184	2	276.184	5	276.184	0
277.185	2	277.185	3	277.185	0
278.185	2	278.185	2	278.185	0
279.186	2	279.186	2	279.186	0
280.187	3	280.187	2	280.187	0
281.187	4	281.187	3	281.187	0
282.188	4	282.188	3	282.188	0
283.189	4	283.189	2	283.189	0
284.189	3	284.189	2	284.189	0
285.19	2	285.19	1	285.19	0
286.191	2	286.191	1	286.191	0
287.191	1	287.191	0	287.191	0
288.192	1	288.192	0	288.192	0
289.193	2	289.193	0	289.193	0
290.193	2	290.193	1	290.193	0
291.194	1	291.194	1	291.194	0
292.195	1	292.195	0	292.195	1
293.195	1	293.195	0	293.195	1
294.196	2	294.196	1	294.196	1
295.197	2	295.197	2	295.197	1
296.197	2	296.197	3	296.197	1
297.198	2	297.198	4	297.198	2
298.199	2	298.199	5	298.199	2
299.199	2	299.199	6	299.199	3
300.2	2	300.2	6	300.2	4
301.201	3	301.201	5	301.201	4
302.201	3	302.201	5	302.201	4
303.202	3	303.202	4	303.202	3
304.203	3	304.203	3	304.203	3
305.203	2	305.203	2	305.203	4
306.204	2	306.204	2	306.204	3
307.205	1	307.205	2	307.205	3
308.205	1	308.205	2	308.205	3
309.206	1	309.206	2	309.206	3
310.207	1	310.207	2	310.207	3
311.207	1	311.207	3	311.207	3
312.208	1	312.208	4	312.208	4
313.209	1	313.209	5	313.209	4
314.209	1	314.209	6	314.209	4
315.21	1	315.21	5	315.21	3
316.211	1	316.211	4	316.211	3
317.211	1	317.211	3	317.211	3
318.212	0	318.212	2	318.212	3
319.213	0	319.213	2	319.213	3
320.213	0	320.213	2	320.213	2
321.214	1	321.214	2	321.214	1
322.215	1	322.215	2	322.215	1
323.215	0	323.215	1	323.215	1
324.216	0	324.216	0	324.216	1
325.217	1	325.217	0	325.217	0
326.217	2	326.217	1	326.217	0
327.218	2	327.218	2	327.218	0
328.219	3	328.219	2	328.219	1
329.219	3	329.219	1	329.219	2
330.22	2	330.22	0	330.22	2
331.221	2	331.221	0	331.221	2
332.221	2	332.221	1	332.221	2
333.222	2	333.222	1	333.222	3
334.223	2	334.223	1	334.223	3
335.223	2	335.223	0	335.223	3
336.224	2	336.224	0	336.224	3
337.225	1	337.225	1	337.225	3
338.225	2	338.225	1	338.225	3
339.226	2	339.226	1	339.226	3
340.227	1	340.227	1	340.227	3
341.227	1	341.227	0	341.227	3
342.228	1	342.228	1	342.228	3
343.229	1	343.229	4	343.229	3
344.229	0	344.229	6	344.229	3
345.23	0	345.23	6	345.23	2
346.231	0	346.231	4	346.231	1
347.231	0	347.231	3	347.231	1
348.232	0	348.232	2	348.232	1
349.233	0	349.233	1	349.233	1
350.233	0	350.233	0	350.233	0
351.234	0	351.234	0	351.234	0
352.235	1	352.235	0	352.235	0
353.235	1	353.235	1	353.235	0
354.236	1	354.236	1	354.236	0
355.237	0	355.237	0	355.237	0
356.237	0	356.237	0	356.237	0
357.238	0	357.238	0	357.238	0
358.239	1	358.239	0	358.239	0
359.239	1	359.239	1	359.239	0
360.24	2	360.24	2	360.24	0
361.241	2	361.241	2	361.241	0
362.241	1	362.241	2	362.241	0
363.242	1	363.242	3	363.242	0
364.243	0	364.243	3	364.243	-1
365.243	0	365.243	3	365.243	-1
366.244	0	366.244	3	366.244	-1
367.245	1	367.245	2	367.245	0
368.245	1	368.245	2	368.245	0
369.246	2	369.246	2	369.246	0
370.247	2	370.247	1	370.247	-1
371.247	2	371.247	1	371.247	-2
372.248	1	372.248	0	372.248	-2
373.249	1	373.249	0	373.249	-2
374.249	1	374.249	0	374.249	-1
375.25	1	375.25	0	375.25	-1
376.251	0	376.251	1	376.251	-1
377.252	0	377.252	2	377.252	0
378.252	0	378.252	3	378.252	0
379.253	0	379.253	4	379.253	0
380.254	1	380.254	4	380.254	0
381.254	0	381.254	3	381.254	-1
382.255	0	382.255	3	382.255	-1
383.256	0	383.256	2	383.256	-1
384.256	0	384.256	2	384.256	-1
385.257	0	385.257	2	385.257	-1
386.258	0	386.258	3	386.258	-1
387.258	0	387.258	5	387.258	-1
388.259	0	388.259	5	388.259	-1
389.26	0	389.26	3	389.26	-1
390.26	0	390.26	1	390.26	-1
391.261	0	391.261	0	391.261	-2
392.262	0	392.262	0	392.262	-3
393.262	0	393.262	1	393.262	-2
394.263	0	394.263	1	394.263	-1
395.264	0	395.264	0	395.264	0
396.264	0	396.264	0	396.264	0
397.265	0	397.265	0	397.265	0
398.266	0	398.266	0	398.266	0
399.266	0	399.266	0	399.266	0
400.267	0	400.267	0	400.267	0
401.268	0	401.268	0	401.268	0
402.268	0	402.268	0	402.268	0
403.269	0	403.269	0	403.269	0
404.27	0	404.27	1	404.27	0
405.27	0	405.27	2	405.27	1
406.271	0	406.271	3	406.271	1
407.272	0	407.272	2	407.272	1
408.272	0	408.272	1	408.272	1
409.273	1	409.273	0	409.273	1
410.274	1	410.274	0	410.274	0
411.274	2	411.274	0	411.274	0
412.275	2	412.275	1	412.275	0
413.276	2	413.276	1	413.276	1
414.276	2	414.276	1	414.276	1
415.277	3	415.277	2	415.277	0
416.278	3	416.278	2	416.278	0
417.278	4	417.278	2	417.278	1
418.279	3	418.279	2	418.279	1
419.28	3	419.28	2	419.28	1
420.28	3	420.28	3	420.28	1
421.281	2	421.281	4	421.281	1
422.282	1	422.282	4	422.282	0
